counts,shots,job_id
"{'1': 499, '0': 525}",1024,0
"{'1': 489, '0': 535}",1024,1
"{'1': 502, '0': 522}",1024,2
"{'0': 489, '1': 535}",1024,3
"{'1': 500, '0': 524}",1024,4
"{'1': 522, '0': 502}",1024,5
"{'0': 483, '1': 541}",1024,6
"{'1': 507, '0': 517}",1024,7
"{'0': 505, '1': 519}",1024,8
"{'0': 524, '1': 500}",1024,9
"{'0': 497, '1': 527}",1024,10
"{'1': 497, '0': 527}",1024,11
"{'1': 529, '0': 495}",1024,12
"{'1': 477, '0': 547}",1024,13
"{'1': 527, '0': 497}",1024,14
"{'0': 493, '1': 531}",1024,15
"{'0': 513, '1': 511}",1024,16
"{'1': 511, '0': 513}",1024,17
"{'0': 545, '1': 479}",1024,18
"{'1': 508, '0': 516}",1024,19
"{'1': 489, '0': 535}",1024,20
"{'1': 512, '0': 512}",1024,21
"{'0': 515, '1': 509}",1024,22
"{'1': 508, '0': 516}",1024,23
"{'0': 486, '1': 538}",1024,24
"{'0': 499, '1': 525}",1024,25
"{'0': 533, '1': 491}",1024,26
"{'0': 528, '1': 496}",1024,27
"{'1': 504, '0': 520}",1024,28
"{'0': 517, '1': 507}",1024,29
"{'1': 509, '0': 515}",1024,30
"{'1': 532, '0': 492}",1024,31
"{'0': 516, '1': 508}",1024,32
"{'1': 526, '0': 498}",1024,33
"{'1': 526, '0': 498}",1024,34
"{'0': 525, '1': 499}",1024,35
"{'1': 501, '0': 523}",1024,36
"{'1': 513, '0': 511}",1024,37
"{'0': 526, '1': 498}",1024,38
"{'0': 477, '1': 547}",1024,39
"{'1': 517, '0': 507}",1024,40
"{'1': 534, '0': 490}",1024,41
"{'1': 531, '0': 493}",1024,42
"{'0': 533, '1': 491}",1024,43
"{'1': 494, '0': 530}",1024,44
"{'0': 520, '1': 504}",1024,45
"{'1': 483, '0': 541}",1024,46
"{'0': 535, '1': 489}",1024,47
"{'0': 522, '1': 502}",1024,48
"{'0': 505, '1': 519}",1024,49
"{'1': 515, '0': 509}",1024,50
"{'1': 509, '0': 515}",1024,51
"{'1': 516, '0': 508}",1024,52
"{'0': 519, '1': 505}",1024,53
"{'0': 511, '1': 513}",1024,54
"{'1': 505, '0': 519}",1024,55
"{'1': 489, '0': 535}",1024,56
"{'0': 516, '1': 508}",1024,57
"{'0': 514, '1': 510}",1024,58
"{'0': 507, '1': 517}",1024,59
"{'0': 510, '1': 514}",1024,60
"{'0': 518, '1': 506}",1024,61
"{'1': 533, '0': 491}",1024,62
"{'1': 519, '0': 505}",1024,63
"{'1': 510, '0': 514}",1024,64
"{'0': 509, '1': 515}",1024,65
"{'1': 516, '0': 508}",1024,66
"{'0': 539, '1': 485}",1024,67
"{'1': 483, '0': 541}",1024,68
"{'1': 532, '0': 492}",1024,69
"{'1': 506, '0': 518}",1024,70
"{'0': 529, '1': 495}",1024,71
"{'0': 533, '1': 491}",1024,72
"{'1': 526, '0': 498}",1024,73
"{'0': 486, '1': 538}",1024,74
"{'0': 520, '1': 504}",1024,75
"{'1': 497, '0': 527}",1024,76
"{'1': 495, '0': 529}",1024,77
"{'0': 489, '1': 535}",1024,78
"{'1': 528, '0': 496}",1024,79
"{'0': 503, '1': 521}",1024,80
"{'0': 524, '1': 500}",1024,81
"{'1': 503, '0': 521}",1024,82
"{'0': 524, '1': 500}",1024,83
"{'1': 523, '0': 501}",1024,84
"{'0': 507, '1': 517}",1024,85
"{'1': 517, '0': 507}",1024,86
"{'0': 519, '1': 505}",1024,87
"{'1': 526, '0': 498}",1024,88
"{'0': 501, '1': 523}",1024,89
"{'0': 527, '1': 497}",1024,90
"{'0': 500, '1': 524}",1024,91
"{'0': 476, '1': 548}",1024,92
"{'0': 514, '1': 510}",1024,93
"{'0': 493, '1': 531}",1024,94
"{'0': 517, '1': 507}",1024,95
