algorithm,execution_type,backend_name,backend_type,noise_model,config_id,result_id,optimization_level,num_qubits,circuit_depth,transpiled_depth,total_gates,shots,expected_outcomes,histogram,peak_mismatch,dsr_michelson,dsr_ratio,dsr_log_ratio,dsr_normalized_margin,source_file
GROVER,IBM_QPU,ibm_fez,qpu,IBM-QPU,ASYM-1,ASYM-1_IBM-QPU_000,0,3,3,223,7,1024,"000,001","{""000"": 320, ""001"": 174, ""010"": 101, ""011"": 128, ""100"": 101, ""101"": 48, ""110"": 64, ""111"": 88}",False,0.317333,0.658667,0.658667,0.481781,ASYM-1_IBM_ibm_fez_20260205_193801.json
GROVER,IBM_QPU,ibm_fez,qpu,IBM-QPU,ASYM-1,ASYM-1_IBM-QPU_001,1,3,3,132,7,1024,"000,001","{""000"": 505, ""001"": 416, ""010"": 10, ""011"": 16, ""100"": 25, ""101"": 24, ""110"": 21, ""111"": 7}",False,0.897013,0.948507,0.948507,0.945711,ASYM-1_IBM_ibm_fez_20260205_193801.json
GROVER,IBM_QPU,ibm_fez,qpu,IBM-QPU,ASYM-1,ASYM-1_IBM-QPU_002,2,3,3,108,7,1024,"000,001","{""000"": 532, ""001"": 414, ""010"": 11, ""011"": 15, ""100"": 13, ""101"": 10, ""110"": 14, ""111"": 15}",False,0.938525,0.969262,0.969262,0.968288,ASYM-1_IBM_ibm_fez_20260205_193801.json
GROVER,IBM_QPU,ibm_fez,qpu,IBM-QPU,ASYM-1,ASYM-1_IBM-QPU_003,3,3,3,108,7,1024,"000,001","{""000"": 501, ""001"": 434, ""010"": 14, ""011"": 11, ""100"": 18, ""101"": 19, ""110"": 8, ""111"": 19}",False,0.921891,0.960946,0.960946,0.959358,ASYM-1_IBM_ibm_fez_20260205_193801.json
GROVER,IBM_QPU,ibm_torino,qpu,IBM-QPU,ASYM-1,ASYM-1_IBM-QPU_000,0,3,3,227,7,1024,"000,001","{""000"": 415, ""001"": 374, ""010"": 32, ""011"": 47, ""100"": 62, ""101"": 42, ""110"": 20, ""111"": 32}",False,0.728368,0.864184,0.864184,0.842839,ASYM-1_IBM_ibm_torino_20260127_133119.json
GROVER,IBM_QPU,ibm_torino,qpu,IBM-QPU,ASYM-1,ASYM-1_IBM-QPU_001,1,3,3,132,7,1024,"000,001","{""000"": 483, ""001"": 426, ""010"": 12, ""011"": 19, ""100"": 17, ""101"": 25, ""110"": 14, ""111"": 28}",False,0.883938,0.941969,0.941969,0.938394,ASYM-1_IBM_ibm_torino_20260127_133119.json
GROVER,IBM_QPU,ibm_torino,qpu,IBM-QPU,ASYM-1,ASYM-1_IBM-QPU_002,2,3,3,107,7,1024,"000,001","{""000"": 494, ""001"": 429, ""010"": 13, ""011"": 20, ""100"": 16, ""101"": 16, ""110"": 14, ""111"": 22}",False,0.908997,0.954498,0.954498,0.952329,ASYM-1_IBM_ibm_torino_20260127_133119.json
GROVER,IBM_QPU,ibm_torino,qpu,IBM-QPU,ASYM-1,ASYM-1_IBM-QPU_003,3,3,3,107,7,1024,"000,001","{""000"": 439, ""001"": 495, ""010"": 19, ""011"": 8, ""100"": 19, ""101"": 14, ""110"": 18, ""111"": 12}",False,0.921811,0.960905,0.960905,0.959315,ASYM-1_IBM_ibm_torino_20260127_133119.json
GROVER,IBM_QPU,ibm_fez,qpu,IBM-QPU,ASYM-2,ASYM-2_IBM-QPU_000,0,3,3,204,7,1024,"000,011","{""000"": 192, ""001"": 89, ""010"": 115, ""011"": 362, ""100"": 40, ""101"": 107, ""110"": 36, ""111"": 83}",False,0.413265,0.706633,0.706633,0.584838,ASYM-2_IBM_ibm_fez_20260205_193832.json
GROVER,IBM_QPU,ibm_fez,qpu,IBM-QPU,ASYM-2,ASYM-2_IBM-QPU_001,1,3,3,132,7,1024,"000,011","{""000"": 419, ""001"": 23, ""010"": 7, ""011"": 498, ""100"": 27, ""101"": 15, ""110"": 19, ""111"": 16}",False,0.888774,0.944387,0.944387,0.941112,ASYM-2_IBM_ibm_fez_20260205_193832.json
