algorithm,execution_type,backend_name,backend_type,noise_model,config_id,result_id,optimization_level,num_qubits,circuit_depth,transpiled_depth,total_gates,shots,expected_outcomes,histogram,peak_mismatch,dsr_michelson,dsr_ratio,dsr_log_ratio,dsr_normalized_margin,source_file
GROVER,AWS_BRAKET,Ankaa-3,qpu,AWS-QPU,ASYM-1,ASYM-1_AWS-QPU_000,,3,3,46,7,1024,"000,001","{""000"": 115, ""001"": 35, ""010"": 126, ""011"": 38, ""100"": 338, ""101"": 70, ""110"": 234, ""111"": 68}",True,0.000000,0.181598,0.181598,0.000000,ASYM-1_AWS_Ankaa-3_20260216_093817.json
GROVER,AWS_BRAKET,Ankaa-3,qpu,AWS-QPU,ASYM-1,ASYM-1_AWS-QPU_000,,3,3,167,7,1024,"000,001","{""000"": 108, ""001"": 141, ""010"": 65, ""011"": 180, ""100"": 130, ""101"": 119, ""110"": 144, ""111"": 137}",True,0.000000,0.408867,0.408867,0.000000,ASYM-1_AWS_Ankaa-3_20260220_093917.json
GROVER,AWS_BRAKET,Ankaa-3,qpu,AWS-QPU,ASYM-1,ASYM-1_AWS-QPU_000,,3,3,159,7,1024,"000,001","{""000"": 113, ""001"": 137, ""010"": 207, ""011"": 145, ""100"": 133, ""101"": 106, ""110"": 89, ""111"": 94}",True,0.000000,0.376506,0.376506,0.000000,ASYM-1_AWS_Ankaa-3_20260220_095017.json
GROVER,AWS_BRAKET,Ankaa-3,qpu,AWS-QPU,ASYM-1,ASYM-1_AWS-QPU_000,,3,3,159,7,1024,"000,001","{""000"": 115, ""001"": 127, ""010"": 190, ""011"": 164, ""100"": 141, ""101"": 101, ""110"": 103, ""111"": 83}",True,0.000000,0.389068,0.389068,0.000000,ASYM-1_AWS_Ankaa-3_20260220_100653.json
GROVER,AWS_BRAKET,Ankaa-3,qpu,AWS-QPU,ASYM-1,ASYM-1_AWS-QPU_000,,3,3,180,7,1024,"000,001","{""000"": 56, ""001"": 73, ""010"": 55, ""011"": 68, ""100"": 159, ""101"": 163, ""110"": 202, ""111"": 248}",True,0.000000,0.206400,0.206400,0.000000,ASYM-1_AWS_Ankaa-3_20260220_101021.json
GROVER,AWS_BRAKET,Ankaa-3,qpu,AWS-QPU,ASYM-1,ASYM-1_AWS-QPU_000,,3,3,46,7,1024,"000,001","{""000"": 143, ""001"": 29, ""010"": 141, ""011"": 33, ""100"": 368, ""101"": 80, ""110"": 177, ""111"": 53}",True,0.000000,0.189427,0.189427,0.000000,ASYM-1_AWS_Ankaa-3_test_20260210.json
GROVER,AWS_BRAKET,Ankaa-3,qpu,AWS-QPU,ASYM-2,ASYM-2_AWS-QPU_000,,3,3,46,7,1024,"000,011","{""000"": 118, ""001"": 247, ""010"": 66, ""011"": 80, ""100"": 88, ""101"": 206, ""110"": 69, ""111"": 150}",True,0.000000,0.286127,0.286127,0.000000,ASYM-2_AWS_Ankaa-3_20260216_093839.json
GROVER,AWS_BRAKET,Ankaa-3,qpu,AWS-QPU,ASYM-2,ASYM-2_AWS-QPU_000,,3,3,141,7,1024,"000,011","{""000"": 188, ""001"": 72, ""010"": 93, ""011"": 289, ""100"": 56, ""101"": 72, ""110"": 109, ""111"": 145}",False,0.243807,0.621904,0.621904,0.392034,ASYM-2_AWS_Ankaa-3_20260220_093917.json
GROVER,AWS_BRAKET,Ankaa-3,qpu,AWS-QPU,ASYM-2,ASYM-2_AWS-QPU_000,,3,3,141,7,1024,"000,011","{""000"": 177, ""001"": 103, ""010"": 88, ""011"": 276, ""100"": 59, ""101"": 89, ""110"": 121, ""111"": 111}",False,0.303597,0.651799,0.651799,0.465784,ASYM-2_AWS_Ankaa-3_20260220_095042.json
GROVER,AWS_BRAKET,Ankaa-3,qpu,AWS-QPU,ASYM-2,ASYM-2_AWS-QPU_000,,3,3,160,7,1024,"000,011","{""000"": 127, ""001"": 145, ""010"": 173, ""011"": 219, ""100"": 121, ""101"": 100, ""110"": 63, ""111"": 76}",False,0.000000,0.500000,0.500000,0.000000,ASYM-2_AWS_Ankaa-3_20260220_100716.json
