Matrix,Condition,Expected_Min,Spectral_Range,Mean_Eigenvalue,Std_Eigenvalue,SEM,CI_95_Lower,CI_95_Upper,Median_Eigenvalue,Min_Eigenvalue,Max_Eigenvalue,N_Trials,Mean_Norm_Error,Std_Norm_Error,N_Pass,Pass_Rate
M1_PauliZ,ideal,-1.0,2.0,-0.9999999991293894,1.1539020023484937e-09,3.648958524050202e-10,-0.9999999999548412,-0.9999999983039376,-0.999999999737279,-0.999999999964966,-0.9999999967023956,10,4.353053473238333e-10,5.76951001174244e-10,10,1.0
M1_PauliZ,IBM-HERON-R1,-1.0,2.0,-0.9980009992342577,7.954616638078207e-10,2.515470648979841e-10,-0.9980009998032967,-0.9980009986652186,-0.9980009993234793,-0.9980009999860996,-0.9980009976510505,10,0.000999500382871138,3.977308319039092e-10,10,1.0
M1_PauliZ,IBM-HERON-R2,-1.0,2.0,-0.9980009992342577,7.954616638078207e-10,2.515470648979841e-10,-0.9980009998032967,-0.9980009986652186,-0.9980009993234793,-0.9980009999860996,-0.9980009976510505,10,0.000999500382871138,3.977308319039092e-10,10,1.0
M1_PauliZ,IBM-HERON-R3,-1.0,2.0,-0.9990002489850672,9.090895107806247e-10,2.8747934510349705e-10,-0.9990002496353907,-0.9990002483347438,-0.9990002491347356,-0.9990002499967261,-0.9990002476486988,10,0.000499875507466424,4.5454475539031055e-10,10,1.0
M1_PauliZ,RIGETTI-ANKAA3,-1.0,2.0,-0.996003999052886,1.0689984090917312e-09,3.3804697878263196e-10,-0.9960039998176013,-0.9960039982881705,-0.9960039995070622,-0.9960039999352799,-0.9960039966630867,10,0.0019980004735570323,5.344992045458655e-10,10,1.0
M2_PauliX,ideal,-1.0,2.0,-0.9999999989649456,7.931136407506256e-10,2.5080455481205125e-10,-0.9999999995323049,-0.9999999983975864,-0.9999999990335807,-0.999999999796629,-0.9999999970924777,10,5.175272044244395e-10,3.965568203753124e-10,10,1.0
M2_PauliX,IBM-HERON-R1,-1.0,2.0,-0.9980009986753131,9.278281210690808e-10,2.9340501397327566e-10,-0.9980009993390414,-0.9980009980115848,-0.9980009989225861,-0.9980009996573757,-0.998000996306937,10,0.0009995006623433945,4.639140605345374e-10,10,1.0
M2_PauliX,IBM-HERON-R2,-1.0,2.0,-0.9980009986753131,9.278281210690808e-10,2.9340501397327566e-10,-0.9980009993390414,-0.9980009980115848,-0.9980009989225861,-0.9980009996573757,-0.998000996306937,10,0.0009995006623433945,4.639140605345374e-10,10,1.0
M2_PauliX,IBM-HERON-R3,-1.0,2.0,-0.9990002485764202,7.294339598121146e-10,2.3066727156820093e-10,-0.9990002490982258,-0.9990002480546146,-0.9990002488703094,-0.9990002493658667,-0.9990002473267047,10,0.0004998757117898933,3.647169799060573e-10,10,1.0
M2_PauliX,RIGETTI-ANKAA3,-1.0,2.0,-0.9960039988495211,6.900558517529405e-10,2.1821482042667866e-10,-0.9960039993431573,-0.9960039983558848,-0.9960039989999622,-0.9960039998447744,-0.996003997334723,10,0.0019980005752394947,3.4502792587646895e-10,10,1.0
M3_General2x2,ideal,1.0,3.0,1.0000000015848816,9.292829036465898e-10,2.9386505661780153e-10,1.0000000009201127,1.0000000022496505,1.0000000016675097,1.000000000234333,1.000000003059954,10,5.282938309036922e-10,3.0976096788219574e-10,10,1.0
M3_General2x2,IBM-HERON-R1,1.0,3.0,1.0029985016546346,8.919512812832617e-10,2.8205976107606207e-10,1.002998501016571,1.0029985022926982,1.002998501832609,1.002998500052408,1.0029985029174329,10,0.0009995005515448518,2.973170937693298e-10,10,1.0
M3_General2x2,IBM-HERON-R2,1.0,3.0,1.0029985016546346,8.919512812832617e-10,2.8205976107606207e-10,1.002998501016571,1.0029985022926982,1.002998501832609,1.002998500052408,1.0029985029174329,10,0.0009995005515448518,2.973170937693298e-10,10,1.0
M3_General2x2,IBM-HERON-R3,1.0,3.0,1.0014996270029686,8.072593761930101e-10,2.5527782912966173e-10,1.00149962642549,1.001499627580447,1.001499626719711,1.0014996258626632,1.0014996281526698,10,0.0004998756676561245,2.6908645874433817e-10,10,1.0
