algorithm,config_id,backend_name,execution_type,shots,num_qubits,optimization_level,transpiled_depth,result_id,source_file,row_id,cohort,output_width,k,target_group,register_aligned,candidate_correct,candidate,stored_dsr,n1,n2,contrast,pair_mass,top_mass,gap,rank_p,unique,target_mass,wrong_max_count,target_mean_signed,target_dsr,target_sum_signed,target_min_signed,target_coverage,target_min_count,target_max_count,pass_inspect_all,pass_unique_mode,pass_contrast_0.2,pass_contrast_0.5,pass_contrast_0.8,pass_rank_0.05,pass_rank_0.01,pass_contrast_0.2_and_rank_0.05,pass_gap_0.05
GROVER,ASYM-1,ibm_fez,IBM_QPU,1024,3,0.0,223.0,ASYM-1_IBM-QPU_000,ASYM-1_IBM_ibm_fez_20260205_193801.json,0,primary,3,2,multiple,False,1.0,000,0.317333,320,174,0.29554655870445345,0.482421875,0.3125,0.142578125,4.995032565734178e-11,True,0.482421875,128,0.31733333333333336,0.31733333333333336,0.5884244372990354,0.152317880794702,1.0,174,320,True,True,True,False,False,True,True,True,True
GROVER,ASYM-1,ibm_fez,IBM_QPU,1024,3,1.0,132.0,ASYM-1_IBM-QPU_001,ASYM-1_IBM_ibm_fez_20260205_193801.json,1,primary,3,2,multiple,False,1.0,000,0.897013,505,416,0.09663409337676439,0.8994140625,0.4931640625,0.0869140625,0.003712047226564112,True,0.8994140625,25,0.8970133882595263,0.8970133882595263,0.9471458773784355,0.8866213151927438,1.0,416,505,True,True,False,False,False,True,True,False,True
GROVER,ASYM-1,ibm_fez,IBM_QPU,1024,3,2.0,108.0,ASYM-1_IBM-QPU_002,ASYM-1_IBM_ibm_fez_20260205_193801.json,2,primary,3,2,multiple,False,1.0,000,0.938525,532,414,0.12473572938689217,0.923828125,0.51953125,0.115234375,0.0001397914003663361,True,0.923828125,15,0.9385245901639344,0.9385245901639344,0.9687825182101977,0.9300699300699301,1.0,414,532,True,True,False,False,False,True,True,False,True
GROVER,ASYM-1,ibm_fez,IBM_QPU,1024,3,3.0,108.0,ASYM-1_IBM-QPU_003,ASYM-1_IBM_ibm_fez_20260205_193801.json,3,primary,3,2,multiple,False,1.0,000,0.921891,501,434,0.07165775401069518,0.9130859375,0.4892578125,0.0654296875,0.030839636946775238,True,0.9130859375,19,0.9218910585817061,0.9218910585817061,0.960167714884696,0.9161147902869757,1.0,434,501,True,True,False,False,False,True,False,False,True
GROVER,ASYM-1,ibm_kingston,IBM_QPU,1024,3,3.0,103.0,ASYM-1_IBM-QPU_003,ASYM-1_IBM_ibm_kingston_20260331_140901.json,4,primary,3,2,multiple,False,1.0,001,0.901235,478,446,0.03463203463203463,0.90234375,0.466796875,0.03125,0.30780971746727437,True,0.90234375,24,0.9012345679012346,0.9012345679012346,0.9493670886075949,0.8978723404255319,1.0,446,478,True,True,False,False,False,False,False,False,False
GROVER,ASYM-1,ibm_kingston,IBM_QPU,1024,3,3.0,108.0,ASYM-1_IBM-QPU_003,ASYM-1_IBM_ibm_kingston_20260331_140927.json,5,primary,3,2,multiple,False,1.0,001,0.875389,473,430,0.047619047619047616,0.8818359375,0.4619140625,0.0419921875,0.1621745175693167,True,0.8818359375,30,0.8753894080996885,0.8753894080996885,0.9356913183279743,0.8695652173913043,1.0,430,473,True,True,False,False,False,False,False,False,False
GROVER,ASYM-1,ibm_torino,IBM_QPU,1024,3,0.0,227.0,ASYM-1_IBM-QPU_000,ASYM-1_IBM_ibm_torino_20260127_133119.json,6,primary,3,2,multiple,False,1.0,000,0.728368,415,374,0.051964512040557666,0.7705078125,0.4052734375,0.0400390625,0.1543908344247074,True,0.7705078125,62,0.7283680175246441,0.7283680175246441,0.854289071680376,0.7155963302752294,1.0,374,415,True,True,False,False,False,False,False,False,False
GROVER,ASYM-1,ibm_torino,IBM_QPU,1024,3,1.0,132.0,ASYM-1_IBM-QPU_001,ASYM-1_IBM_ibm_torino_20260127_133119.json,7,primary,3,2,multiple,False,1.0,000,0.883938,483,426,0.0627062706270627,0.8876953125,0.4716796875,0.0556640625,0.06319453586312129,True,0.8876953125,28,0.883937823834197,0.883937823834197,0.9402347918890075,0.8766519823788547,1.0,426,483,True,True,False,False,False,False,False,False,True
GROVER,ASYM-1,ibm_torino,IBM_QPU,1024,3,2.0,107.0,ASYM-1_IBM-QPU_002,ASYM-1_IBM_ibm_torino_20260127_133119.json,8,primary,3,2,multiple,False,1.0,000,0.908997,494,429,0.07042253521126761,0.9013671875,0.482421875,0.0634765625,0.035096743336530754,True,0.9013671875,22,0.9089968976215098,0.9089968976215098,0.9534391534391534,0.9024390243902439,1.0,429,494,True,True,False,False,False,True,False,False,True
GROVER,ASYM-1,ibm_torino,IBM_QPU,1024,3,3.0,107.0,ASYM-1_IBM-QPU_003,ASYM-1_IBM_ibm_torino_20260127_133119.json,9,primary,3,2,multiple,False,1.0,001,0.921811,495,439,0.059957173447537475,0.912109375,0.4833984375,0.0546875,0.07185831375533422,True,0.912109375,19,0.9218106995884774,0.9218106995884774,0.9601259181532005,0.9170305676855895,1.0,439,495,True,True,False,False,False,False,False,False,True
