cohort,algorithm,target_group,policy,jobs,selected,correct_selected,wrong_selected,correct_deferred,selection_rate,correct_fraction_selected,correct_candidate_retention
primary,BV,singleton,inspect_all,165,165,147.0,18.0,0.0,1.0,0.8909090909090909,1.0
primary,BV,singleton,unique_mode,165,165,147.0,18.0,0.0,1.0,0.8909090909090909,1.0
primary,BV,singleton,contrast_0.2,165,155,146.0,9.0,1.0,0.9393939393939394,0.9419354838709677,0.9931972789115646
primary,BV,singleton,contrast_0.5,165,139,139.0,0.0,8.0,0.8424242424242424,1.0,0.9455782312925171
primary,BV,singleton,contrast_0.8,165,83,83.0,0.0,64.0,0.503030303030303,1.0,0.564625850340136
primary,BV,singleton,rank_0.05,165,155,146.0,9.0,1.0,0.9393939393939394,0.9419354838709677,0.9931972789115646
primary,BV,singleton,rank_0.01,165,151,146.0,5.0,1.0,0.9151515151515152,0.9668874172185431,0.9931972789115646
primary,BV,singleton,contrast_0.2_and_rank_0.05,165,155,146.0,9.0,1.0,0.9393939393939394,0.9419354838709677,0.9931972789115646
primary,BV,singleton,gap_0.05,165,143,143.0,0.0,4.0,0.8666666666666667,1.0,0.9727891156462585
primary,BV-SIGNAL-BACKGROUND,multiple,inspect_all,30,30,4.25,25.75,0.0,1.0,0.14166666666666666,1.0
primary,BV-SIGNAL-BACKGROUND,multiple,unique_mode,30,21,4.0,17.0,0.25,0.7,0.19047619047619047,0.9411764705882353
primary,BV-SIGNAL-BACKGROUND,multiple,contrast_0.2,30,8,1.0,7.0,3.25,0.26666666666666666,0.125,0.23529411764705882
primary,BV-SIGNAL-BACKGROUND,multiple,contrast_0.5,30,1,1.0,0.0,3.25,0.03333333333333333,1.0,0.23529411764705882
primary,BV-SIGNAL-BACKGROUND,multiple,contrast_0.8,30,0,0.0,0.0,4.25,0.0,,0.0
primary,BV-SIGNAL-BACKGROUND,multiple,rank_0.05,30,1,1.0,0.0,3.25,0.03333333333333333,1.0,0.23529411764705882
primary,BV-SIGNAL-BACKGROUND,multiple,rank_0.01,30,0,0.0,0.0,4.25,0.0,,0.0
primary,BV-SIGNAL-BACKGROUND,multiple,contrast_0.2_and_rank_0.05,30,1,1.0,0.0,3.25,0.03333333333333333,1.0,0.23529411764705882
primary,BV-SIGNAL-BACKGROUND,multiple,gap_0.05,30,0,0.0,0.0,4.25,0.0,,0.0
primary,GROVER,multiple,inspect_all,89,89,67.0,22.0,0.0,1.0,0.7528089887640449,1.0
primary,GROVER,multiple,unique_mode,89,89,67.0,22.0,0.0,1.0,0.7528089887640449,1.0
primary,GROVER,multiple,contrast_0.2,89,8,6.0,2.0,61.0,0.0898876404494382,0.75,0.08955223880597014
primary,GROVER,multiple,contrast_0.5,89,0,0.0,0.0,67.0,0.0,,0.0
primary,GROVER,multiple,contrast_0.8,89,0,0.0,0.0,67.0,0.0,,0.0
primary,GROVER,multiple,rank_0.05,89,35,25.0,10.0,42.0,0.39325842696629215,0.7142857142857143,0.373134328358209
primary,GROVER,multiple,rank_0.01,89,24,17.0,7.0,50.0,0.2696629213483146,0.7083333333333334,0.2537313432835821
primary,GROVER,multiple,contrast_0.2_and_rank_0.05,89,8,6.0,2.0,61.0,0.0898876404494382,0.75,0.08955223880597014
primary,GROVER,multiple,gap_0.05,89,34,26.0,8.0,41.0,0.38202247191011235,0.7647058823529411,0.3880597014925373
primary,GROVER,singleton,inspect_all,159,159,115.0,44.0,0.0,1.0,0.7232704402515723,1.0
primary,GROVER,singleton,unique_mode,159,157,115.0,42.0,0.0,0.9874213836477987,0.732484076433121,1.0
primary,GROVER,singleton,contrast_0.2,159,109,105.0,4.0,10.0,0.6855345911949685,0.963302752293578,0.9130434782608695
primary,GROVER,singleton,contrast_0.5,159,98,98.0,0.0,17.0,0.6163522012578616,1.0,0.8521739130434782
primary,GROVER,singleton,contrast_0.8,159,80,80.0,0.0,35.0,0.5031446540880503,1.0,0.6956521739130435
primary,GROVER,singleton,rank_0.05,159,119,108.0,11.0,7.0,0.7484276729559748,0.907563025210084,0.9391304347826087
primary,GROVER,singleton,rank_0.01,159,114,107.0,7.0,8.0,0.7169811320754716,0.9385964912280702,0.9304347826086956
primary,GROVER,singleton,contrast_0.2_and_rank_0.05,159,109,105.0,4.0,10.0,0.6855345911949685,0.963302752293578,0.9130434782608695
primary,GROVER,singleton,gap_0.05,159,112,104.0,8.0,11.0,0.7044025157232704,0.9285714285714286,0.9043478260869565
primary,QFT,multiple,inspect_all,96,96,89.0,7.0,0.0,1.0,0.9270833333333334,1.0
primary,QFT,multiple,unique_mode,96,96,89.0,7.0,0.0,1.0,0.9270833333333334,1.0
primary,QFT,multiple,contrast_0.2,96,80,79.0,1.0,10.0,0.8333333333333334,0.9875,0.8876404494382022
primary,QFT,multiple,contrast_0.5,96,61,61.0,0.0,28.0,0.6354166666666666,1.0,0.6853932584269663
primary,QFT,multiple,contrast_0.8,96,48,48.0,0.0,41.0,0.5,1.0,0.5393258426966292
primary,QFT,multiple,rank_0.05,96,89,84.0,5.0,5.0,0.9270833333333334,0.9438202247191011,0.9438202247191011
primary,QFT,multiple,rank_0.01,96,87,83.0,4.0,6.0,0.90625,0.9540229885057471,0.9325842696629213
primary,QFT,multiple,contrast_0.2_and_rank_0.05,96,80,79.0,1.0,10.0,0.8333333333333334,0.9875,0.8876404494382022
primary,QFT,multiple,gap_0.05,96,86,82.0,4.0,7.0,0.8958333333333334,0.9534883720930233,0.9213483146067416
primary,QFT,singleton,inspect_all,143,143,125.0,18.0,0.0,1.0,0.8741258741258742,1.0
