cohort,backend_name,target_group,policy,jobs,selected,correct_selected,wrong_selected,correct_deferred,selection_rate,correct_fraction_selected,correct_candidate_retention
primary,Ankaa-3,multiple,inspect_all,39,39,17.0,22.0,0.0,1.0,0.4358974358974359,1.0
primary,Ankaa-3,multiple,unique_mode,39,39,17.0,22.0,0.0,1.0,0.4358974358974359,1.0
primary,Ankaa-3,multiple,contrast_0.2,39,15,14.0,1.0,3.0,0.38461538461538464,0.9333333333333333,0.8235294117647058
primary,Ankaa-3,multiple,contrast_0.5,39,6,6.0,0.0,11.0,0.15384615384615385,1.0,0.35294117647058826
primary,Ankaa-3,multiple,contrast_0.8,39,0,0.0,0.0,17.0,0.0,,0.0
primary,Ankaa-3,multiple,rank_0.05,39,24,15.0,9.0,2.0,0.6153846153846154,0.625,0.8823529411764706
primary,Ankaa-3,multiple,rank_0.01,39,20,14.0,6.0,3.0,0.5128205128205128,0.7,0.8235294117647058
primary,Ankaa-3,multiple,contrast_0.2_and_rank_0.05,39,15,14.0,1.0,3.0,0.38461538461538464,0.9333333333333333,0.8235294117647058
primary,Ankaa-3,multiple,gap_0.05,39,20,14.0,6.0,3.0,0.5128205128205128,0.7,0.8235294117647058
primary,Ankaa-3,singleton,inspect_all,83,83,52.0,31.0,0.0,1.0,0.6265060240963856,1.0
primary,Ankaa-3,singleton,unique_mode,83,83,52.0,31.0,0.0,1.0,0.6265060240963856,1.0
primary,Ankaa-3,singleton,contrast_0.2,83,51,46.0,5.0,6.0,0.6144578313253012,0.9019607843137255,0.8846153846153846
primary,Ankaa-3,singleton,contrast_0.5,83,44,44.0,0.0,8.0,0.5301204819277109,1.0,0.8461538461538461
primary,Ankaa-3,singleton,contrast_0.8,83,27,27.0,0.0,25.0,0.3253012048192771,1.0,0.5192307692307693
primary,Ankaa-3,singleton,rank_0.05,83,65,49.0,16.0,3.0,0.7831325301204819,0.7538461538461538,0.9423076923076923
primary,Ankaa-3,singleton,rank_0.01,83,57,48.0,9.0,4.0,0.6867469879518072,0.8421052631578947,0.9230769230769231
primary,Ankaa-3,singleton,contrast_0.2_and_rank_0.05,83,51,46.0,5.0,6.0,0.6144578313253012,0.9019607843137255,0.8846153846153846
primary,Ankaa-3,singleton,gap_0.05,83,57,48.0,9.0,4.0,0.6867469879518072,0.8421052631578947,0.9230769230769231
primary,Forte 1,singleton,inspect_all,1,1,1.0,0.0,0.0,1.0,1.0,1.0
primary,Forte 1,singleton,unique_mode,1,1,1.0,0.0,0.0,1.0,1.0,1.0
primary,Forte 1,singleton,contrast_0.2,1,1,1.0,0.0,0.0,1.0,1.0,1.0
primary,Forte 1,singleton,contrast_0.5,1,1,1.0,0.0,0.0,1.0,1.0,1.0
