cohort,algorithm,config_id,target_group,policy,jobs,selected,correct_selected,wrong_selected,correct_deferred,selection_rate,correct_fraction_selected,correct_candidate_retention
primary,BV,BV10-ALT,singleton,inspect_all,10,10,10.0,0.0,0.0,1.0,1.0,1.0
primary,BV,BV10-ALT,singleton,unique_mode,10,10,10.0,0.0,0.0,1.0,1.0,1.0
primary,BV,BV10-ALT,singleton,contrast_0.2,10,10,10.0,0.0,0.0,1.0,1.0,1.0
primary,BV,BV10-ALT,singleton,contrast_0.5,10,10,10.0,0.0,0.0,1.0,1.0,1.0
primary,BV,BV10-ALT,singleton,contrast_0.8,10,10,10.0,0.0,0.0,1.0,1.0,1.0
primary,BV,BV10-ALT,singleton,rank_0.05,10,10,10.0,0.0,0.0,1.0,1.0,1.0
primary,BV,BV10-ALT,singleton,rank_0.01,10,10,10.0,0.0,0.0,1.0,1.0,1.0
primary,BV,BV10-ALT,singleton,contrast_0.2_and_rank_0.05,10,10,10.0,0.0,0.0,1.0,1.0,1.0
primary,BV,BV10-ALT,singleton,gap_0.05,10,10,10.0,0.0,0.0,1.0,1.0,1.0
primary,BV,BV11-ALT,singleton,inspect_all,10,10,10.0,0.0,0.0,1.0,1.0,1.0
primary,BV,BV11-ALT,singleton,unique_mode,10,10,10.0,0.0,0.0,1.0,1.0,1.0
primary,BV,BV11-ALT,singleton,contrast_0.2,10,10,10.0,0.0,0.0,1.0,1.0,1.0
primary,BV,BV11-ALT,singleton,contrast_0.5,10,10,10.0,0.0,0.0,1.0,1.0,1.0
primary,BV,BV11-ALT,singleton,contrast_0.8,10,2,2.0,0.0,8.0,0.2,1.0,0.2
primary,BV,BV11-ALT,singleton,rank_0.05,10,10,10.0,0.0,0.0,1.0,1.0,1.0
primary,BV,BV11-ALT,singleton,rank_0.01,10,10,10.0,0.0,0.0,1.0,1.0,1.0
primary,BV,BV11-ALT,singleton,contrast_0.2_and_rank_0.05,10,10,10.0,0.0,0.0,1.0,1.0,1.0
primary,BV,BV11-ALT,singleton,gap_0.05,10,10,10.0,0.0,0.0,1.0,1.0,1.0
primary,BV,BV12-ALT,singleton,inspect_all,10,10,10.0,0.0,0.0,1.0,1.0,1.0
primary,BV,BV12-ALT,singleton,unique_mode,10,10,10.0,0.0,0.0,1.0,1.0,1.0
primary,BV,BV12-ALT,singleton,contrast_0.2,10,10,10.0,0.0,0.0,1.0,1.0,1.0
primary,BV,BV12-ALT,singleton,contrast_0.5,10,8,8.0,0.0,2.0,0.8,1.0,0.8
primary,BV,BV12-ALT,singleton,contrast_0.8,10,0,0.0,0.0,10.0,0.0,,0.0
primary,BV,BV12-ALT,singleton,rank_0.05,10,10,10.0,0.0,0.0,1.0,1.0,1.0
primary,BV,BV12-ALT,singleton,rank_0.01,10,10,10.0,0.0,0.0,1.0,1.0,1.0
primary,BV,BV12-ALT,singleton,contrast_0.2_and_rank_0.05,10,10,10.0,0.0,0.0,1.0,1.0,1.0
primary,BV,BV12-ALT,singleton,gap_0.05,10,10,10.0,0.0,0.0,1.0,1.0,1.0
primary,BV,BV13-ALT,singleton,inspect_all,10,10,10.0,0.0,0.0,1.0,1.0,1.0
primary,BV,BV13-ALT,singleton,unique_mode,10,10,10.0,0.0,0.0,1.0,1.0,1.0
primary,BV,BV13-ALT,singleton,contrast_0.2,10,10,10.0,0.0,0.0,1.0,1.0,1.0
