cohort,shots,target_group,policy,jobs,selected,correct_selected,wrong_selected,correct_deferred,selection_rate,correct_fraction_selected,correct_candidate_retention
primary,128,singleton,inspect_all,1,1,1.0,0.0,0.0,1.0,1.0,1.0
primary,128,singleton,unique_mode,1,1,1.0,0.0,0.0,1.0,1.0,1.0
primary,128,singleton,contrast_0.2,1,1,1.0,0.0,0.0,1.0,1.0,1.0
primary,128,singleton,contrast_0.5,1,1,1.0,0.0,0.0,1.0,1.0,1.0
primary,128,singleton,contrast_0.8,1,1,1.0,0.0,0.0,1.0,1.0,1.0
primary,128,singleton,rank_0.05,1,1,1.0,0.0,0.0,1.0,1.0,1.0
primary,128,singleton,rank_0.01,1,1,1.0,0.0,0.0,1.0,1.0,1.0
primary,128,singleton,contrast_0.2_and_rank_0.05,1,1,1.0,0.0,0.0,1.0,1.0,1.0
primary,128,singleton,gap_0.05,1,1,1.0,0.0,0.0,1.0,1.0,1.0
primary,1024,multiple,inspect_all,215,215,160.25,54.75,0.0,1.0,0.7453488372093023,1.0
primary,1024,multiple,unique_mode,215,206,160.0,46.0,0.25,0.958139534883721,0.7766990291262136,0.9984399375975039
primary,1024,multiple,contrast_0.2,215,96,86.0,10.0,74.25,0.44651162790697674,0.8958333333333334,0.5366614664586583
primary,1024,multiple,contrast_0.5,215,62,62.0,0.0,98.25,0.28837209302325584,1.0,0.3868954758190328
primary,1024,multiple,contrast_0.8,215,48,48.0,0.0,112.25,0.22325581395348837,1.0,0.2995319812792512
primary,1024,multiple,rank_0.05,215,125,110.0,15.0,50.25,0.5813953488372093,0.88,0.6864274570982839
primary,1024,multiple,rank_0.01,215,111,100.0,11.0,60.25,0.5162790697674419,0.9009009009009009,0.62402496099844
primary,1024,multiple,contrast_0.2_and_rank_0.05,215,89,86.0,3.0,74.25,0.413953488372093,0.9662921348314607,0.5366614664586583
primary,1024,multiple,gap_0.05,215,120,108.0,12.0,52.25,0.5581395348837209,0.9,0.6739469578783152
primary,1024,singleton,inspect_all,463,463,383.0,80.0,0.0,1.0,0.8272138228941684,1.0
primary,1024,singleton,unique_mode,463,461,383.0,78.0,0.0,0.9956803455723542,0.8308026030368764,1.0
primary,1024,singleton,contrast_0.2,463,378,364.0,14.0,19.0,0.816414686825054,0.9629629629629629,0.9503916449086162
primary,1024,singleton,contrast_0.5,463,342,342.0,0.0,41.0,0.7386609071274298,1.0,0.8929503916449086
primary,1024,singleton,contrast_0.8,463,238,238.0,0.0,145.0,0.5140388768898488,1.0,0.6214099216710183
primary,1024,singleton,rank_0.05,463,396,369.0,27.0,14.0,0.8552915766738661,0.9318181818181818,0.9634464751958225
primary,1024,singleton,rank_0.01,463,382,366.0,16.0,17.0,0.8250539956803455,0.9581151832460733,0.9556135770234987
primary,1024,singleton,contrast_0.2_and_rank_0.05,463,378,364.0,14.0,19.0,0.816414686825054,0.9629629629629629,0.9503916449086162
primary,1024,singleton,gap_0.05,463,370,359.0,11.0,24.0,0.7991360691144709,0.9702702702702702,0.9373368146214099
primary,4096,singleton,inspect_all,3,3,3.0,0.0,0.0,1.0,1.0,1.0
primary,4096,singleton,unique_mode,3,3,3.0,0.0,0.0,1.0,1.0,1.0
primary,4096,singleton,contrast_0.2,3,2,2.0,0.0,1.0,0.6666666666666666,1.0,0.6666666666666666
primary,4096,singleton,contrast_0.5,3,1,1.0,0.0,2.0,0.3333333333333333,1.0,0.3333333333333333
primary,4096,singleton,contrast_0.8,3,1,1.0,0.0,2.0,0.3333333333333333,1.0,0.3333333333333333
primary,4096,singleton,rank_0.05,3,2,2.0,0.0,1.0,0.6666666666666666,1.0,0.6666666666666666
primary,4096,singleton,rank_0.01,3,2,2.0,0.0,1.0,0.6666666666666666,1.0,0.6666666666666666
primary,4096,singleton,contrast_0.2_and_rank_0.05,3,2,2.0,0.0,1.0,0.6666666666666666,1.0,0.6666666666666666
primary,4096,singleton,gap_0.05,3,2,2.0,0.0,1.0,0.6666666666666666,1.0,0.6666666666666666
teleportation_hardware,10,singleton,inspect_all,116,116,54.83333333333333,61.16666666666667,0.0,1.0,0.4727011494252873,1.0
teleportation_hardware,10,singleton,unique_mode,116,85,47.0,38.0,7.833333333333329,0.7327586206896551,0.5529411764705883,0.8571428571428572
teleportation_hardware,10,singleton,contrast_0.2,116,63,38.0,25.0,16.83333333333333,0.5431034482758621,0.6031746031746031,0.6930091185410335
teleportation_hardware,10,singleton,contrast_0.5,116,22,18.0,4.0,36.83333333333333,0.1896551724137931,0.8181818181818182,0.32826747720364746
teleportation_hardware,10,singleton,contrast_0.8,116,9,9.0,0.0,45.83333333333333,0.07758620689655173,1.0,0.16413373860182373
teleportation_hardware,10,singleton,rank_0.05,116,9,9.0,0.0,45.83333333333333,0.07758620689655173,1.0,0.16413373860182373
teleportation_hardware,10,singleton,rank_0.01,116,3,3.0,0.0,51.83333333333333,0.02586206896551724,1.0,0.05471124620060791
teleportation_hardware,10,singleton,contrast_0.2_and_rank_0.05,116,9,9.0,0.0,45.83333333333333,0.07758620689655173,1.0,0.16413373860182373
teleportation_hardware,10,singleton,gap_0.05,116,85,47.0,38.0,7.833333333333329,0.7327586206896551,0.5529411764705883,0.8571428571428572
