cohort,target_group,policy,configurations,mean_config_selection_rate,mean_config_correct_selected_fraction,configs_with_selected_jobs
primary,multiple,contrast_0.2,21,0.4939153439153439,0.7976190476190477,18
primary,multiple,contrast_0.2_and_rank_0.05,21,0.4605820105820106,0.8973214285714286,16
primary,multiple,contrast_0.5,21,0.3182539682539683,1.0,12
primary,multiple,contrast_0.8,21,0.23412698412698413,1.0,9
primary,multiple,gap_0.05,21,0.5864091596234454,0.8373270248270248,18
primary,multiple,inspect_all,21,1.0,0.7664948807805951,21
primary,multiple,rank_0.01,21,0.5579115989830276,0.8188085063085063,18
primary,multiple,rank_0.05,21,0.6115414347557204,0.8479741019214704,19
primary,multiple,unique_mode,21,0.9571428571428572,0.765304404590119,21
primary,singleton,contrast_0.2,46,0.7696076521843785,0.9464285714285714,42
primary,singleton,contrast_0.2_and_rank_0.05,46,0.7696076521843785,0.9464285714285714,42
primary,singleton,contrast_0.5,46,0.6762860341504843,1.0,38
primary,singleton,contrast_0.8,46,0.4655443617080446,1.0,30
primary,singleton,gap_0.05,46,0.7414047454009092,0.9672036297036296,40
primary,singleton,inspect_all,46,1.0,0.813452209200291,46
primary,singleton,rank_0.01,46,0.7800273049953357,0.9374462178033606,42
primary,singleton,rank_0.05,46,0.8046991804344745,0.9183059004487577,42
primary,singleton,unique_mode,46,0.9945652173913043,0.813452209200291,46
teleportation_hardware,singleton,contrast_0.2,5,0.260084864178432,0.32162447257383964,5
teleportation_hardware,singleton,contrast_0.2_and_rank_0.05,5,0.19914453664281317,0.28445378151260503,5
teleportation_hardware,singleton,contrast_0.5,5,0.03035075060403069,0.6428571428571428,4
teleportation_hardware,singleton,contrast_0.8,5,0.008955223880597014,1.0,1
teleportation_hardware,singleton,gap_0.05,5,0.37700105971619513,0.42675941862688854,4
teleportation_hardware,singleton,inspect_all,5,1.0,0.29617906939132954,5
teleportation_hardware,singleton,rank_0.01,5,0.38015733322020157,0.3258633260594615,5
teleportation_hardware,singleton,rank_0.05,5,0.42689776936548646,0.3137747963718439,5
teleportation_hardware,singleton,unique_mode,5,0.9559303805044201,0.29547842155997656,5
teleportation_simulator,singleton,contrast_0.2,2,1.0,1.0,2
teleportation_simulator,singleton,contrast_0.2_and_rank_0.05,2,1.0,1.0,2
teleportation_simulator,singleton,contrast_0.5,2,1.0,1.0,2
teleportation_simulator,singleton,contrast_0.8,2,1.0,1.0,2
teleportation_simulator,singleton,gap_0.05,2,1.0,1.0,2
teleportation_simulator,singleton,inspect_all,2,1.0,1.0,2
teleportation_simulator,singleton,rank_0.01,2,1.0,1.0,2
teleportation_simulator,singleton,rank_0.05,2,1.0,1.0,2
teleportation_simulator,singleton,unique_mode,2,1.0,1.0,2
