cohort,target_group,policy,jobs,selected,correct_selected,wrong_selected,correct_deferred,selection_rate,correct_fraction_selected,correct_candidate_retention
primary,multiple,inspect_all,215,215,160.25,54.75,0.0,1.0,0.7453488372093023,1.0
primary,multiple,unique_mode,215,206,160.0,46.0,0.25,0.958139534883721,0.7766990291262136,0.9984399375975039
primary,multiple,contrast_0.2,215,96,86.0,10.0,74.25,0.44651162790697674,0.8958333333333334,0.5366614664586583
primary,multiple,contrast_0.5,215,62,62.0,0.0,98.25,0.28837209302325584,1.0,0.3868954758190328
primary,multiple,contrast_0.8,215,48,48.0,0.0,112.25,0.22325581395348837,1.0,0.2995319812792512
primary,multiple,rank_0.05,215,125,110.0,15.0,50.25,0.5813953488372093,0.88,0.6864274570982839
primary,multiple,rank_0.01,215,111,100.0,11.0,60.25,0.5162790697674419,0.9009009009009009,0.62402496099844
primary,multiple,contrast_0.2_and_rank_0.05,215,89,86.0,3.0,74.25,0.413953488372093,0.9662921348314607,0.5366614664586583
primary,multiple,gap_0.05,215,120,108.0,12.0,52.25,0.5581395348837209,0.9,0.6739469578783152
primary,singleton,inspect_all,467,467,387.0,80.0,0.0,1.0,0.828693790149893,1.0
primary,singleton,unique_mode,467,465,387.0,78.0,0.0,0.9957173447537473,0.832258064516129,1.0
primary,singleton,contrast_0.2,467,381,367.0,14.0,20.0,0.815845824411135,0.963254593175853,0.9483204134366925
primary,singleton,contrast_0.5,467,344,344.0,0.0,43.0,0.7366167023554604,1.0,0.8888888888888888
primary,singleton,contrast_0.8,467,240,240.0,0.0,147.0,0.5139186295503212,1.0,0.6201550387596899
primary,singleton,rank_0.05,467,399,372.0,27.0,15.0,0.854389721627409,0.9323308270676691,0.9612403100775194
primary,singleton,rank_0.01,467,385,369.0,16.0,18.0,0.8244111349036403,0.9584415584415584,0.9534883720930233
primary,singleton,contrast_0.2_and_rank_0.05,467,381,367.0,14.0,20.0,0.815845824411135,0.963254593175853,0.9483204134366925
primary,singleton,gap_0.05,467,373,362.0,11.0,25.0,0.7987152034261242,0.9705093833780161,0.9354005167958657
teleportation_hardware,singleton,inspect_all,792,792,275.8333333333333,516.1666666666667,0.0,1.0,0.34827441077441074,1.0
teleportation_hardware,singleton,unique_mode,792,757,268.0,489.0,7.833333333333314,0.9558080808080808,0.35402906208718626,0.9716012084592146
teleportation_hardware,singleton,contrast_0.2,792,241,155.0,86.0,120.83333333333331,0.3042929292929293,0.6431535269709544,0.5619335347432024
teleportation_hardware,singleton,contrast_0.5,792,29,25.0,4.0,250.83333333333331,0.036616161616161616,0.8620689655172413,0.0906344410876133
teleportation_hardware,singleton,contrast_0.8,792,9,9.0,0.0,266.8333333333333,0.011363636363636364,1.0,0.03262839879154079
teleportation_hardware,singleton,rank_0.05,792,380,195.0,185.0,80.83333333333331,0.4797979797979798,0.5131578947368421,0.7069486404833837
teleportation_hardware,singleton,rank_0.01,792,342,182.0,160.0,93.83333333333331,0.4318181818181818,0.5321637426900585,0.6598187311178249
teleportation_hardware,singleton,contrast_0.2_and_rank_0.05,792,187,126.0,61.0,149.83333333333331,0.2361111111111111,0.6737967914438503,0.45679758308157103
teleportation_hardware,singleton,gap_0.05,792,351,213.0,138.0,62.833333333333314,0.4431818181818182,0.6068376068376068,0.7722054380664654
teleportation_simulator,singleton,inspect_all,4,4,4.0,0.0,0.0,1.0,1.0,1.0
teleportation_simulator,singleton,unique_mode,4,4,4.0,0.0,0.0,1.0,1.0,1.0
teleportation_simulator,singleton,contrast_0.2,4,4,4.0,0.0,0.0,1.0,1.0,1.0
teleportation_simulator,singleton,contrast_0.5,4,4,4.0,0.0,0.0,1.0,1.0,1.0
teleportation_simulator,singleton,contrast_0.8,4,4,4.0,0.0,0.0,1.0,1.0,1.0
teleportation_simulator,singleton,rank_0.05,4,4,4.0,0.0,0.0,1.0,1.0,1.0
teleportation_simulator,singleton,rank_0.01,4,4,4.0,0.0,0.0,1.0,1.0,1.0
teleportation_simulator,singleton,contrast_0.2_and_rank_0.05,4,4,4.0,0.0,0.0,1.0,1.0,1.0
teleportation_simulator,singleton,gap_0.05,4,4,4.0,0.0,0.0,1.0,1.0,1.0
