target_group,budget,policy,jobs,repeats,mean_selected_jobs,selection_rate,correct_fraction_selected,holdout_unique_leader_fraction,mean_correct_selected_jobs,mean_wrong_selected_jobs
multiple,64,inspect_all,215,30,215.0,1.0,0.7255813953488373,0.6586046511627907,156.0,59.0
multiple,64,unique_mode,215,30,181.43333333333334,0.843875968992248,0.824177843101231,0.762630902076061,149.53333333333333,31.9
multiple,64,contrast_0.2,215,30,107.3,0.4990697674418605,0.8738738738738738,0.8866107486797142,93.76666666666667,13.533333333333333
multiple,64,contrast_0.5,215,30,59.7,0.27767441860465114,0.9927414852037968,0.9944165270798436,59.266666666666666,0.43333333333333335
multiple,64,contrast_0.8,215,30,41.86666666666667,0.19472868217054262,1.0,1.0,41.86666666666667,0.0
multiple,64,rank_0.05,215,30,69.2,0.3218604651162791,0.9855491329479769,0.9951830443159922,68.2,1.0
multiple,64,rank_0.01,215,30,59.7,0.27767441860465114,0.9966499162479062,0.9994416527079844,59.5,0.2
multiple,64,contrast_0.2_and_rank_0.05,215,30,69.2,0.3218604651162791,0.9855491329479769,0.9951830443159922,68.2,1.0
multiple,64,gap_0.05,215,30,129.8,0.6037209302325581,0.9175654853620955,0.8900873138161274,119.1,10.7
multiple,128,inspect_all,215,30,215.0,1.0,0.7333333333333333,0.6978294573643411,157.66666666666666,57.333333333333336
multiple,128,unique_mode,215,30,188.3,0.8758139534883721,0.8137723490883342,0.782793414763675,153.23333333333332,35.06666666666667
multiple,128,contrast_0.2,215,30,104.6,0.4865116279069767,0.8562778840025494,0.8884639898024219,89.56666666666666,15.033333333333333
multiple,128,contrast_0.5,215,30,60.93333333333333,0.2834108527131783,0.9928884026258206,0.9928884026258206,60.5,0.43333333333333335
multiple,128,contrast_0.8,215,30,44.6,0.20744186046511628,1.0,1.0,44.6,0.0
multiple,128,rank_0.05,215,30,81.76666666666667,0.38031007751937984,0.974724826742764,0.9910313901345291,79.7,2.066666666666667
multiple,128,rank_0.01,215,30,70.8,0.3293023255813953,0.9891713747645952,0.998587570621469,70.03333333333333,0.7666666666666667
multiple,128,contrast_0.2_and_rank_0.05,215,30,81.46666666666667,0.3789147286821705,0.9746317512274959,0.9918166939443536,79.4,2.066666666666667
multiple,128,gap_0.05,215,30,128.3,0.5967441860465116,0.9184203689269941,0.9288126786178228,117.83333333333333,10.466666666666667
multiple,256,inspect_all,215,30,215.0,1.0,0.7339534883720931,0.7306976744186047,157.8,57.2
multiple,256,unique_mode,215,30,193.06666666666666,0.897984496124031,0.8005870165745856,0.805939226519337,154.56666666666666,38.5
multiple,256,contrast_0.2,215,30,100.2,0.466046511627907,0.8639387890884896,0.8992015968063872,86.56666666666666,13.633333333333333
multiple,256,contrast_0.5,215,30,61.266666666666666,0.2849612403100775,0.9983677910772579,0.9983677910772579,61.166666666666664,0.1
multiple,256,contrast_0.8,215,30,46.46666666666667,0.21612403100775193,1.0,1.0,46.46666666666667,0.0
multiple,256,rank_0.05,215,30,94.46666666666667,0.43937984496124033,0.9555398729710657,0.9940014114326041,90.26666666666667,4.2
multiple,256,rank_0.01,215,30,82.7,0.38465116279069766,0.9742039500201531,0.9983877468762595,80.56666666666666,2.1333333333333333
multiple,256,contrast_0.2_and_rank_0.05,215,30,87.93333333333334,0.4089922480620155,0.9556482183472328,0.9962092494313874,84.03333333333333,3.9
multiple,256,gap_0.05,215,30,125.3,0.5827906976744186,0.9177972865123704,0.9638201649374833,115.0,10.3
multiple,512,inspect_all,215,30,215.0,1.0,0.7424806201550388,0.7469767441860465,159.63333333333333,55.36666666666667
multiple,512,unique_mode,215,30,196.73333333333332,0.9150387596899224,0.8009149440867502,0.812267028126059,157.56666666666666,39.166666666666664
multiple,512,contrast_0.2,215,30,96.53333333333333,0.4489922480620155,0.8977900552486188,0.919889502762431,86.66666666666667,9.866666666666667
multiple,512,contrast_0.5,215,30,61.53333333333333,0.2862015503875969,1.0,0.9989165763813651,61.53333333333333,0.0
multiple,512,contrast_0.8,215,30,47.8,0.22232558139534883,1.0,1.0,47.8,0.0
multiple,512,rank_0.05,215,30,108.36666666666666,0.504031007751938,0.9203322054752384,0.982774530913565,99.73333333333333,8.633333333333333
multiple,512,rank_0.01,215,30,94.8,0.4409302325581395,0.9563994374120957,0.9933192686357243,90.66666666666667,4.133333333333334
multiple,512,contrast_0.2_and_rank_0.05,215,30,87.96666666666667,0.4091472868217054,0.9590754073512694,0.9973474801061007,84.36666666666666,3.6
multiple,512,gap_0.05,215,30,122.2,0.5683720930232559,0.9189852700490998,0.9710856519367158,112.3,9.9
singleton,64,inspect_all,463,30,463.0,1.0,0.8056875449964003,0.8585313174946004,373.03333333333336,89.96666666666667
singleton,64,unique_mode,463,30,433.76666666666665,0.9368610511159108,0.8536847767616998,0.9058633674018289,370.3,63.46666666666667
singleton,64,contrast_0.2,463,30,387.1666666666667,0.8362131029517639,0.9250968575118381,0.9575548859233749,358.1666666666667,29.0
singleton,64,contrast_0.5,463,30,333.46666666666664,0.7202303815694744,0.9935025989604158,0.9986005597760895,331.3,2.1666666666666665
singleton,64,contrast_0.8,463,30,225.36666666666667,0.4867530597552196,1.0,1.0,225.36666666666667,0.0
singleton,64,rank_0.05,463,30,336.56666666666666,0.7269258459323255,0.9966326631672774,0.999801921362781,335.43333333333334,1.1333333333333333
singleton,64,rank_0.01,463,30,328.06666666666666,0.7085673146148308,0.9988823409876042,0.9998983946352368,327.7,0.36666666666666664
singleton,64,contrast_0.2_and_rank_0.05,463,30,336.56666666666666,0.7269258459323255,0.9966326631672774,0.999801921362781,335.43333333333334,1.1333333333333333
singleton,64,gap_0.05,463,30,371.9,0.8032397408207343,0.9540198978219951,0.9840458904723492,354.8,17.1
singleton,128,inspect_all,463,30,463.0,1.0,0.8113750899928006,0.8771778257739381,375.6666666666667,87.33333333333333
singleton,128,unique_mode,463,30,441.5,0.9535637149028078,0.846734616836542,0.9117402793506983,373.8333333333333,67.66666666666667
singleton,128,contrast_0.2,463,30,382.43333333333334,0.8259899208063355,0.9410790551730149,0.9791684825241872,359.9,22.533333333333335
singleton,128,contrast_0.5,463,30,337.26666666666665,0.7284377249820014,0.9956513144890294,0.9994069974303222,335.8,1.4666666666666666
singleton,128,contrast_0.8,463,30,234.56666666666666,0.5066234701223902,1.0,1.0,234.56666666666666,0.0
singleton,128,rank_0.05,463,30,351.3,0.7587473002159827,0.9864313502229813,0.9995255716861182,346.53333333333336,4.766666666666667
singleton,128,rank_0.01,463,30,342.4,0.739524838012959,0.9927959501557633,0.9998052959501558,339.93333333333334,2.466666666666667
singleton,128,contrast_0.2_and_rank_0.05,463,30,351.3,0.7587473002159827,0.9864313502229813,0.9995255716861182,346.53333333333336,4.766666666666667
singleton,128,gap_0.05,463,30,372.1666666666667,0.8038156947444205,0.9598746081504702,0.9919390953873712,357.23333333333335,14.933333333333334
singleton,256,inspect_all,463,30,463.0,1.0,0.8207343412526998,0.8921526277897768,380.0,83.0
singleton,256,unique_mode,463,30,448.6,0.9688984881209504,0.8440332887501858,0.9167781245355923,378.6333333333333,69.96666666666667
singleton,256,contrast_0.2,463,30,379.93333333333334,0.8205903527717783,0.9527110019301632,0.9899982453061941,361.96666666666664,17.966666666666665
singleton,256,contrast_0.5,463,30,340.23333333333335,0.7348452123830094,0.9971588125796023,1.0,339.26666666666665,0.9666666666666667
singleton,256,contrast_0.8,463,30,238.8,0.5157667386609072,1.0,1.0,238.8,0.0
singleton,256,rank_0.05,463,30,363.96666666666664,0.7861051115910728,0.9772872973715542,0.999450499129957,355.7,8.266666666666667
singleton,256,rank_0.01,463,30,355.8,0.7684665226781857,0.9874461307850853,1.0,351.3333333333333,4.466666666666667
singleton,256,contrast_0.2_and_rank_0.05,463,30,362.8666666666667,0.7837293016558675,0.9790556678302407,0.9996325555759691,355.26666666666665,7.6
singleton,256,gap_0.05,463,30,372.06666666666666,0.8035997120230381,0.9645224870094965,0.9971331302633937,358.8666666666667,13.2
singleton,512,inspect_all,463,30,463.0,1.0,0.8248380129589633,0.8993520518358531,381.9,81.1
singleton,512,unique_mode,463,30,453.1666666666667,0.9787616990640748,0.841853622655388,0.916954762780434,381.5,71.66666666666667
singleton,512,contrast_0.2,463,30,378.1666666666667,0.8167746580273578,0.9597179374173644,0.9941824592331423,362.93333333333334,15.233333333333333
singleton,512,contrast_0.5,463,30,341.03333333333336,0.7365730741540677,0.9986316098133124,0.999902257843808,340.56666666666666,0.4666666666666667
singleton,512,contrast_0.8,463,30,239.66666666666666,0.5176385889128869,1.0,1.0,239.66666666666666,0.0
