scenario,width,shots,inspect_all,unique_mode,contrast_0.2,contrast_0.5,contrast_0.8,rank_0.05,rank_0.01,contrast_0.2_and_rank_0.05,gap_0.05,mean_contrast,mean_gap
uniform,2,64,1.0,0.863,0.072,0.0,0.0,0.011,0.0,0.011,0.348,0.08138706092972632,0.048390625
uniform,2,256,1.0,0.929,0.001,0.0,0.0,0.002,0.0,0.001,0.111,0.04221403455583788,0.02303125
uniform,2,1024,1.0,0.969,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.02099586673966171,0.010978515625
uniform,8,64,1.0,0.371,0.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0767904761904762,0.006078125
uniform,8,256,1.0,0.463,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.058704123654123655,0.00214453125
uniform,8,1024,1.0,0.608,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.041887818876058205,0.0008564453125
uniform,16,64,1.0,0.039,0.039,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.000609375
uniform,16,256,1.0,0.316,0.316,0.002,0.0,0.0,0.0,0.0,0.0,0.10566666666666666,0.0012421875
uniform,16,1024,1.0,0.037,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.008066666666666666,3.61328125e-05
uniform,28,64,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform,28,256,1.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0003333333333333333,3.90625e-06
uniform,28,1024,1.0,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0006666666666666666,1.953125e-06
