dataset,encoding,preprocessing,fold,seed,n_qubits,train_accuracy,test_accuracy,f1_macro,convergence_iters,final_loss,generalization_gap,wall_time_seconds,circuit_depth,gate_count,cx_count,svm_rbf_acc,svm_rbf_f1,random_forest_acc,random_forest_f1,logistic_regression_acc,logistic_regression_f1,expressibility,entanglement_mw,kernel_alignment
iris,angle_ry,none,0,42,4,0.9,0.5667,0.4967,1,1.112453,0.3333,1.63,17.0,54.0,6.0,1.0,1.0,0.9666666666666667,0.9665831244778613,1.0,1.0,0.624905,-0.0,0.947
iris,angle_ry,none,1,43,4,0.8,0.3667,0.2315,6,1.227505,0.4333,1.61,,,,0.9666666666666667,0.9665831244778613,0.9666666666666667,0.9665831244778613,0.9666666666666667,0.9665831244778613,0.624905,-0.0,0.947
iris,angle_ry,none,2,44,4,0.88,0.7667,0.7511,28,0.467419,0.1133,1.89,,,,0.9333333333333333,0.9326599326599326,0.9333333333333333,0.9326599326599326,0.9333333333333333,0.9326599326599326,0.624905,-0.0,0.947
iris,angle_ry,none,3,45,4,0.92,1.0,1.0,16,0.614026,-0.08,1.88,,,,1.0,1.0,0.9666666666666667,0.9665831244778613,1.0,1.0,0.624905,-0.0,0.947
iris,angle_ry,none,4,46,4,0.9,0.4667,0.4444,3,1.093082,0.4333,1.57,,,,0.9333333333333333,0.9333333333333332,0.9,0.899749373433584,0.9333333333333333,0.9333333333333332,0.624905,-0.0,0.947
iris,angle_ry,minmax_pi,0,42,4,0.8,0.5333,0.4824,14,0.817716,0.2667,1.51,17.0,54.0,6.0,1.0,1.0,0.9666666666666667,0.9665831244778613,1.0,1.0,0.624905,0.0,0.8846
iris,angle_ry,minmax_pi,1,43,4,0.86,0.8,0.7908,5,0.642384,0.06,1.63,,,,0.9666666666666667,0.9665831244778613,0.9666666666666667,0.9665831244778613,0.9666666666666667,0.9665831244778613,0.624905,0.0,0.8846
iris,angle_ry,minmax_pi,2,44,4,0.8,0.5333,0.5139,11,0.954031,0.2667,1.57,,,,0.9,0.899749373433584,0.9333333333333333,0.9326599326599326,0.9,0.899749373433584,0.624905,0.0,0.8846
iris,angle_ry,minmax_pi,3,45,4,0.16,0.1667,0.1604,6,1.363901,-0.0067,1.54,,,,1.0,1.0,0.9666666666666667,0.9665831244778613,1.0,1.0,0.624905,0.0,0.8846
iris,angle_ry,minmax_pi,4,46,4,0.34,0.0667,0.0417,1,1.184913,0.2733,1.53,,,,0.9,0.899749373433584,0.9,0.899749373433584,0.9,0.899749373433584,0.624905,0.0,0.8846
iris,angle_ry,zscore_sigmoid,0,42,4,0.96,0.7,0.6943,14,0.780882,0.26,1.77,17.0,54.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,0.624905,-0.0,0.914
iris,angle_ry,zscore_sigmoid,1,43,4,0.86,0.6333,0.5244,1,0.868521,0.2267,1.68,,,,0.9666666666666667,0.9665831244778613,0.9666666666666667,0.9665831244778613,0.9666666666666667,0.9665831244778613,0.624905,-0.0,0.914
iris,angle_ry,zscore_sigmoid,2,44,4,0.86,0.5667,0.5486,19,0.874594,0.2933,2.13,,,,0.9,0.899749373433584,0.9333333333333333,0.9326599326599326,0.9,0.899749373433584,0.624905,-0.0,0.914
iris,angle_ry,zscore_sigmoid,3,45,4,0.1,0.1667,0.1389,2,1.371671,-0.0667,1.63,,,,1.0,1.0,0.9666666666666667,0.9665831244778613,1.0,1.0,0.624905,-0.0,0.914
iris,angle_ry,zscore_sigmoid,4,46,4,0.42,0.0333,0.0215,1,1.186646,0.3867,1.58,,,,0.9,0.899749373433584,0.9,0.899749373433584,0.9,0.899749373433584,0.624905,-0.0,0.914
iris,angle_ry,pca_minmax,0,42,4,0.22,0.4333,0.3499,21,0.849543,-0.2133,2.05,17.0,54.0,6.0,1.0,1.0,1.0,1.0,0.9666666666666667,0.9665831244778612,0.624905,-0.0,0.6564
iris,angle_ry,pca_minmax,1,43,4,1.0,0.7333,0.6825,22,0.601923,0.2667,1.72,,,,0.9666666666666667,0.9665831244778613,0.9666666666666667,0.9665831244778613,0.9666666666666667,0.9665831244778613,0.624905,-0.0,0.6564
iris,angle_ry,pca_minmax,2,44,4,0.02,0.2667,0.2173,1,1.644105,-0.2467,1.76,,,,0.9,0.899749373433584,0.9,0.8976982097186701,0.8666666666666667,0.8653198653198654,0.624905,-0.0,0.6564
iris,angle_ry,pca_minmax,3,45,4,0.6,0.4667,0.4378,12,0.867822,0.1333,1.7,,,,1.0,1.0,1.0,1.0,0.9666666666666667,0.9665831244778612,0.624905,-0.0,0.6564
iris,angle_ry,pca_minmax,4,46,4,0.78,0.4333,0.3431,1,1.138881,0.3467,1.84,,,,0.9666666666666667,0.9665831244778613,0.9333333333333333,0.9333333333333332,0.9,0.899749373433584,0.624905,-0.0,0.6564
iris,iqp_full,none,0,42,4,0.64,0.6,0.5625,2,1.107658,0.04,2.38,34.0,80.0,18.0,1.0,1.0,0.9666666666666667,0.9665831244778613,1.0,1.0,0.018029,0.9259,-0.8012
iris,iqp_full,none,1,43,4,0.42,0.3333,0.3238,5,1.102079,0.0867,2.0,,,,0.9666666666666667,0.9665831244778613,0.9666666666666667,0.9665831244778613,0.9666666666666667,0.9665831244778613,0.018029,0.9259,-0.8012
