n,Success_median,Success_ci_lo,Success_ci_hi,Chance-Corrected_median,Chance-Corrected_ci_lo,Chance-Corrected_ci_hi,Coarse TVD-Sim_median,Coarse TVD-Sim_ci_lo,Coarse TVD-Sim_ci_hi,Coarse HF_median,Coarse HF_ci_lo,Coarse HF_ci_hi,W_vs_Chance-Corrected,p_raw_vs_Chance-Corrected,p_corr_vs_Chance-Corrected,delta_vs_Chance-Corrected,W_vs_Coarse TVD-Sim,p_raw_vs_Coarse TVD-Sim,p_corr_vs_Coarse TVD-Sim,delta_vs_Coarse TVD-Sim,W_vs_Coarse HF,p_raw_vs_Coarse HF,p_corr_vs_Coarse HF,delta_vs_Coarse HF,algorithm,provider,num_qubits
20,0.96875,0.966797,0.974609,0.958333,0.955729,0.966146,0.96875,0.966797,0.974609,0.96875,0.966797,0.974609,0.0,8.782404130245518e-05,0.00026347212390736554,0.57,,,,0.0,,,,0.0,GROVER,IBM,2
40,0.8247070000000001,0.79541,0.852051,0.7799480000000001,0.7558594999999999,0.8052459999999999,0.8247070000000001,0.79541,0.852051,0.823658,0.79541,0.850941,0.0,3.5668648332760216e-08,1.0700594499828064e-07,0.32875,,,,0.0,0.0,1.9073486328125e-06,5.7220458984375e-06,0.01625,GROVER,IBM,3
8,0.5141605,0.422852,0.555664,0.43296100000000004,0.355469,0.526042,0.5141605,0.422852,0.555664,0.5112095,0.422852,0.555664,0.0,0.0078125,0.0234375,0.46875,,,,0.0,,,,0.09375,GROVER,IBM,4
3,0.055664,,,0.025202,,,0.055664,,,0.055664,,,,,,0.5555555555555556,,,,0.0,,,,0.0,GROVER,IBM,5
2,0.015625,,,0.000496,,,0.015625,,,0.015625,,,,,,1.0,,,,0.0,,,,0.0,GROVER,IBM,6
2,0.008789,,,0.0024605,,,0.008789,,,0.008789,,,,,,0.5,,,,0.0,,,,0.0,GROVER,IBM,7
2,0.0029295000000000002,,,0.0,,,0.0029295000000000002,,,0.0029295000000000002,,,,,,1.0,,,,0.0,,,,0.0,GROVER,IBM,8
20,0.926758,0.9140625,0.9331055,0.902344,0.8854165,0.9108069999999999,0.926758,0.9140625,0.9331055,0.926758,0.9140625,0.9331055,0.0,8.832385863081276e-05,0.00026497157589243825,0.4625,,,,0.0,,,,0.0,GROVER,Rigetti,2
40,0.17041,0.1401365,0.227051,0.0,0.0,0.023996,0.17041,0.1401365,0.227051,0.169933,0.1344935,0.22531400000000001,0.0,3.5668648332760216e-08,1.0700594499828064e-07,0.835,,,,0.0,0.0,1.9073486328125e-06,5.7220458984375e-06,0.015625,GROVER,Rigetti,3
5,0.113281,0.048828,0.261719,0.015625,0.0,0.054167,0.113281,0.048828,0.261719,0.113281,0.048828,0.251212,,,,0.84,,,,0.0,,,,0.08,GROVER,Rigetti,4
18,0.9653320000000001,0.9624025,0.9692385,0.953776,0.94987,0.9589840000000001,0.9653320000000001,0.9624025,0.9692385,0.9653320000000001,0.9624025,0.9692385,0.0,0.00019472428638634702,0.0005841728591590411,0.7716049382716049,,,,0.0,,,,0.0,QFT,IBM,2
40,0.9306639999999999,0.9140625,0.947266,0.916388,0.901786,0.929688,0.915039,0.9086915,0.916992,0.915039,0.9086915,0.916992,0.0,3.5517573253029944e-08,1.0655271975908983e-07,0.333125,0.0,0.00019506589130048008,0.0005851976739014403,0.32875,0.0,0.00019506589130048008,0.0005851976739014403,0.32875,QFT,IBM,3
12,0.8916014999999999,0.8339844999999999,0.9394535,0.8727864999999999,0.822917,0.919271,0.8496094999999999,0.8081054999999999,0.8637695,0.8496094999999999,0.8081054999999999,0.8637695,0.0,0.00048828125,0.00146484375,0.1875,0.0,0.03125,0.09375,0.4305555555555556,0.0,0.03125,0.09375,0.4305555555555556,QFT,IBM,4
4,0.7006835,,,0.6910285,,,0.6459965,,,0.6459965,,,,,,0.25,,,,0.375,,,,0.375,QFT,IBM,5
8,0.8046875,0.474609,0.831055,0.7577195,0.43192,0.8066405000000001,0.4375,0.34375,0.677734,0.4375,0.34375,0.677734,0.0,0.0078125,0.0234375,0.34375,0.0,0.03125,0.09375,0.65625,0.0,0.03125,0.09375,0.65625,QFT,IBM,6
2,0.383301,,,0.3781625,,,0.3422855,,,0.3422855,,,,,,0.5,,,,0.25,,,,0.25,QFT,IBM,8
2,0.1723635,,,0.1704505,,,0.1269535,,,0.1269535,,,,,,0.5,,,,0.25,,,,0.25,QFT,IBM,10
10,0.844727,0.8310545,0.850586,0.792969,0.7747395,0.800781,0.844727,0.8310545,0.850586,0.844727,0.8310545,0.850586,0.0,0.001953125,0.005859375,1.0,,,,0.0,,,,0.0,QFT,Rigetti,2
9,0.818359,0.791016,0.869141,0.792411,0.761161,0.850446,0.818359,0.791016,0.869141,0.818359,0.791016,0.869141,0.0,0.00390625,0.01171875,0.35802469135802467,,,,0.0,,,,0.0,QFT,Rigetti,3
25,0.386719,0.306641,0.433594,0.300223,0.2375,0.384375,0.285156,0.226562,0.383789,0.285156,0.226563,0.383789,0.0,1.2268056633232528e-05,3.6804169899697584e-05,0.3536,0.0,3.0517578125e-05,9.1552734375e-05,0.3312,0.0,3.0517578125e-05,9.1552734375e-05,0.3312,QFT,Rigetti,4
12,0.038574,0.0288085,0.0595705,0.0075604999999999995,0.0,0.029234000000000003,0.038574,0.0288085,0.0595705,0.0385745,0.0288085,0.0595705,0.0,0.00048828125,0.00146484375,0.6527777777777778,,,,0.0,,,,-0.006944444444444444,QFT,Rigetti,5
