n,DSR_median,DSR_ci_lo,DSR_ci_hi,HF_median,HF_ci_lo,HF_ci_hi,TVD-F_median,TVD-F_ci_lo,TVD-F_ci_hi,W_vs_HF,p_raw_vs_HF,p_corr_vs_HF,delta_vs_HF,W_vs_TVD-F,p_raw_vs_TVD-F,p_corr_vs_TVD-F,delta_vs_TVD-F,algorithm,provider,num_qubits
20,0.9682695,0.9661355,0.972291,0.9682615,0.9658205,0.9731445,0.9682615,0.9658205,0.9731445,76.0,0.2942523956298828,0.5885047912597656,-0.05,76.0,0.2942523956298828,0.5885047912597656,-0.05,GROVER,IBM,2
58,0.8698895,0.8641945,0.8834965,0.902108,0.8944894999999999,0.908787,0.850586,0.827148,0.8745115,237.0,1.6791353232594166e-06,3.3582706465188332e-06,-0.33650416171224734,282.0,8.986004012539553e-06,1.7972008025079106e-05,0.3079667063020214,GROVER,IBM,3
17,0.737634,0.55493,0.774011,0.650151,0.618745,0.734531,0.529892,0.479111,0.594345,73.0,0.8899688720703125,1.0,0.16262975778546712,45.0,0.1454315185546875,0.290863037109375,0.5155709342560554,GROVER,IBM,4
5,0.2,0.106796,0.5,0.08344,0.06835,0.15162,0.069177,0.055505,0.132654,,,,0.84,,,,0.84,GROVER,IBM,5
3,0.0,,,0.031497,,,0.018063,,,,,,-1.0,,,,-1.0,GROVER,IBM,6
4,0.0,,,0.023947000000000003,,,0.012681000000000001,,,,,,-1.0,,,,-1.0,GROVER,IBM,7
4,0.0,,,0.003712,,,0.0029809999999999997,,,,,,-1.0,,,,-1.0,GROVER,IBM,8
20,0.896195,0.885786,0.908052,0.926758,0.9140625,0.9331055,0.926758,0.9140625,0.9331055,2.0,5.7220458984375e-06,1.1444091796875e-05,-0.45,2.0,5.7220458984375e-06,1.1444091796875e-05,-0.45,GROVER,AWS,2
40,0.0,0.0,0.0,0.2512465,0.2289415,0.2882895,0.1958005,0.167969,0.23974600000000001,0.0,1.8189894035458565e-12,3.637978807091713e-12,-0.9325,0.0,3.565603732512116e-08,7.131207465024233e-08,-0.8925,GROVER,AWS,3
5,0.0,0.0,0.099526,0.251212,0.165613,0.34834,0.151962,0.087509,0.261719,,,,-1.0,,,,-0.84,GROVER,AWS,4
1,0.008696,,,0.069919,,,0.057458,,,,,,-1.0,,,,-1.0,GROVER,AWS,5
1,0.0,,,0.013849,,,0.007321,,,,,,-1.0,,,,-1.0,GROVER,AWS,6
20,0.960278,0.9581035,0.963317,0.9653320000000001,0.9624025,0.9692385,0.9653320000000001,0.9624025,0.9692385,14.0,0.000209808349609375,0.00041961669921875,-0.49,14.0,0.000209808349609375,0.00041961669921875,-0.49,QFT,IBM,2
42,0.9417690000000001,0.9367585,0.944056,0.915039,0.9086915,0.916992,0.915039,0.9086915,0.916992,0.0,1.6474080993099813e-08,3.2948161986199627e-08,0.8503401360544217,0.0,1.6474080993099813e-08,3.2948161986199627e-08,0.8503401360544217,QFT,IBM,3
24,0.8560305,0.837788,0.889219,0.842773,0.796875,0.856445,0.842773,0.796875,0.856445,64.0,0.012604832649230957,0.025209665298461914,0.34375,64.0,0.012604832649230957,0.025209665298461914,0.34375,QFT,IBM,4
7,0.843829,0.816032,0.870445,0.674805,0.617188,0.726563,0.674805,0.617188,0.726562,0.0,0.015625,0.03125,1.0,0.0,0.015625,0.03125,1.0,QFT,IBM,5
16,0.5131015,0.418182,0.556721,0.502441,0.358398,0.666992,0.502441,0.358398,0.666992,48.0,0.322509765625,0.64501953125,-0.0078125,48.0,0.322509765625,0.64501953125,-0.0078125,QFT,IBM,6
1,0.460674,,,0.126953,,,0.126953,,,,,,1.0,,,,1.0,QFT,IBM,7
4,0.600097,,,0.2172855,,,0.2172855,,,,,,0.5,,,,0.5,QFT,IBM,8
4,0.3466665,,,0.1269535,,,0.1269535,,,,,,0.875,,,,0.875,QFT,IBM,10
10,0.7666455000000001,0.7477914999999999,0.77641,0.844727,0.8310545,0.850586,0.844727,0.8310545,0.850586,0.0,0.001953125,0.00390625,-1.0,0.0,0.001953125,0.00390625,-1.0,QFT,AWS,2
9,0.830435,0.798283,0.879874,0.818359,0.791016,0.869141,0.818359,0.791016,0.869141,15.0,0.42578125,0.8515625,0.1111111111111111,15.0,0.42578125,0.8515625,0.1111111111111111,QFT,AWS,3
25,0.0,0.0,0.209076,0.285156,0.226563,0.383789,0.285156,0.226562,0.383789,58.0,0.0037809014320373535,0.007561802864074707,-0.4496,58.0,0.0037809014320373535,0.007561802864074707,-0.4496,QFT,AWS,4
12,0.0,0.0,0.0,0.038574,0.0288085,0.0595705,0.038574,0.0288085,0.0595705,2.0,0.00146484375,0.0029296875,-0.7222222222222222,2.0,0.00146484375,0.0029296875,-0.7222222222222222,QFT,AWS,5
