status,circuit_depth,circuit_width,circuit_size,circuit_count_ops,num_qubits,num_clbits,num_ancillas,num_parameters,has_calibrations,has_layout,payload_size,num_gates,execution_type,experiment_type,job_id,counts,success_rate
completed,6005,5,6011,"{""y"": 1046, ""s"": 1041, ""sdg"": 1041, ""x"": 988, ""h"": 978, ""z"": 910, ""cx"": 5, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3000,aws,dynamic_payload_gates,arn:aws:braket:us-west-1:265556963705:quantum-task/fdd4298d-9c9d-4af3-bf3a-8806757c5e95,"{'0010': 2, '0000': 2, '0110': 3, '1110': 2, '1010': 1}",0.2
completed,6007,5,6013,"{""x"": 1064, ""z"": 1016, ""y"": 1002, ""sdg"": 992, ""s"": 992, ""h"": 940, ""cx"": 5, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3001,aws,dynamic_payload_gates,arn:aws:braket:us-west-1:265556963705:quantum-task/7deb0349-bb60-4ce0-bd3f-db221c1a280c,"{'0100': 2, '1001': 1, '0010': 1, '0110': 2, '0011': 1, '0101': 1, '0000': 1, '0001': 1}",0.1
completed,6009,5,6015,"{""h"": 1050, ""x"": 1034, ""y"": 1000, ""sdg"": 975, ""s"": 975, ""z"": 974, ""cx"": 5, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3002,aws,dynamic_payload_gates,arn:aws:braket:us-west-1:265556963705:quantum-task/f8c8e9b7-ab62-4e09-b2f4-112c5a439ae6,"{'0000': 4, '0110': 3, '0100': 2, '1011': 1}",0.4
completed,6011,5,6017,"{""h"": 1054, ""y"": 1022, ""z"": 1008, ""x"": 1000, ""s"": 963, ""sdg"": 963, ""cx"": 5, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3003,aws,dynamic_payload_gates,arn:aws:braket:us-west-1:265556963705:quantum-task/7f8a864f-bcc5-4601-a3dc-77f6050218a2,"{'0100': 3, '1110': 1, '1011': 1, '0110': 3, '0010': 1, '1010': 1}",0.0
completed,6013,5,6019,"{""h"": 1044, ""y"": 1040, ""s"": 1015, ""sdg"": 1015, ""x"": 960, ""z"": 938, ""cx"": 5, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3004,aws,dynamic_payload_gates,arn:aws:braket:us-west-1:265556963705:quantum-task/39b5be8b-2fdf-480e-bf8a-ce16fdb5bb36,"{'0100': 2, '0110': 2, '0000': 2, '0010': 2, '0011': 1, '0001': 1}",0.2
completed,6015,5,6021,"{""x"": 1054, ""y"": 1040, ""z"": 1000, ""s"": 994, ""sdg"": 994, ""h"": 932, ""cx"": 5, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3005,aws,dynamic_payload_gates,arn:aws:braket:us-west-1:265556963705:quantum-task/64ecad62-7632-4925-b4e5-fabfa1b3dbb5,"{'0110': 1, '0100': 3, '0000': 5, '0101': 1}",0.5
completed,3007,7,6016,"{""s"": 1053, ""sdg"": 1053, ""y"": 1006, ""h"": 992, ""z"": 978, ""x"": 924, ""cx"": 7, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,3000,aws,dynamic_payload_gates,arn:aws:braket:us-west-1:265556963705:quantum-task/cac1b94f-74b5-4e52-a6ce-15c43b0fe71e,"{'11000': 1, '01011': 1, '00011': 2, '10111': 1, '01000': 1, '10100': 1, '00000': 1, '10000': 2}",0.1
completed,3007,7,6018,"{""z"": 1058, ""y"": 1022, ""x"": 1010, ""sdg"": 981, ""s"": 981, ""h"": 956, ""cx"": 7, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,3001,aws,dynamic_payload_gates,arn:aws:braket:us-west-1:265556963705:quantum-task/a83fd3ef-8b87-49ad-a35f-9770d6daca10,"{'00010': 1, '00011': 2, '01011': 1, '10000': 1, '01001': 1, '00100': 2, '00000': 1, '11110': 1}",0.1
completed,3009,7,6020,"{""x"": 1088, ""y"": 998, ""s"": 986, ""sdg"": 986, ""h"": 984, ""z"": 968, ""cx"": 7, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,3002,aws,dynamic_payload_gates,arn:aws:braket:us-west-1:265556963705:quantum-task/2649fad6-20d4-4653-90f8-d94b6bab06e4,"{'01111': 1, '01011': 1, '01010': 2, '11111': 1, '00011': 1, '00111': 2, '01100': 1, '00100': 1}",0.0
completed,3009,7,6022,"{""y"": 1092, ""h"": 1022, ""s"": 1015, ""sdg"": 1015, ""x"": 992, ""z"": 876, ""cx"": 7, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,3003,aws,dynamic_payload_gates,arn:aws:braket:us-west-1:265556963705:quantum-task/20716034-1486-4321-95c4-9c8385484e20,"{'00000': 2, '01011': 2, '00100': 1, '10011': 1, '10000': 1, '00010': 1, '01111': 1, '10111': 1}",0.2
