status,circuit_depth,circuit_width,circuit_size,circuit_count_ops,num_qubits,num_clbits,num_ancillas,num_parameters,has_calibrations,has_layout,payload_size,num_gates,execution_type,experiment_type,job_id,counts,success_rate
completed,14005,5,14011,"{""x"": 2436, ""h"": 2342, ""sdg"": 2340, ""s"": 2340, ""y"": 2328, ""z"": 2218, ""cx"": 5, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,7000,aws,dynamic_payload_gates,arn:aws:braket:us-west-1:265556963705:quantum-task/511e89fb-3f63-4513-9bea-39bc572bae38,"{'0000': 3, '0110': 3, '1110': 1, '0010': 2, '1100': 1}",0.3
completed,14007,5,14013,"{""y"": 2426, ""z"": 2346, ""h"": 2314, ""x"": 2310, ""sdg"": 2305, ""s"": 2305, ""cx"": 5, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,7001,aws,dynamic_payload_gates,arn:aws:braket:us-west-1:265556963705:quantum-task/198a6c1a-0afa-4bff-a655-caae017ca93c,"{'0001': 1, '0000': 3, '0100': 2, '0110': 1, '0111': 1, '1100': 2}",0.3
completed,14009,5,14015,"{""y"": 2410, ""h"": 2366, ""x"": 2318, ""sdg"": 2305, ""s"": 2305, ""z"": 2304, ""cx"": 5, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,7002,aws,dynamic_payload_gates,arn:aws:braket:us-west-1:265556963705:quantum-task/55f2ba48-3f35-41df-ae73-5da36713e34f,"{'0011': 1, '0010': 3, '0100': 3, '0101': 1, '0000': 1, '0110': 1}",0.1
completed,14011,5,14017,"{""sdg"": 2368, ""s"": 2368, ""y"": 2366, ""h"": 2326, ""x"": 2292, ""z"": 2290, ""cx"": 5, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,7003,aws,dynamic_payload_gates,arn:aws:braket:us-west-1:265556963705:quantum-task/a15c4df0-82f9-434c-a7fa-f00987cf83ad,"{'1100': 1, '0010': 2, '1001': 1, '0100': 1, '0101': 1, '0110': 2, '0000': 1, '0001': 1}",0.1
completed,14013,5,14019,"{""sdg"": 2376, ""s"": 2376, ""h"": 2354, ""y"": 2348, ""z"": 2302, ""x"": 2256, ""cx"": 5, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,7004,aws,dynamic_payload_gates,arn:aws:braket:us-west-1:265556963705:quantum-task/1449d67a-8bfa-4639-a3de-37fb4cdae679,"{'0010': 3, '1001': 1, '0000': 1, '0011': 1, '1101': 1, '0110': 1, '0001': 1, '1111': 1}",0.1
completed,14015,5,14021,"{""y"": 2414, ""sdg"": 2401, ""s"": 2401, ""z"": 2286, ""h"": 2258, ""x"": 2254, ""cx"": 5, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,7005,aws,dynamic_payload_gates,arn:aws:braket:us-west-1:265556963705:quantum-task/53ac7da3-112b-4002-b271-2c2867dfd56e,"{'0000': 2, '0001': 1, '0100': 3, '0010': 1, '0110': 1, '0111': 1, '0011': 1}",0.2
completed,7007,7,14016,"{""h"": 2472, ""sdg"": 2350, ""s"": 2350, ""x"": 2306, ""y"": 2294, ""z"": 2234, ""cx"": 7, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,7000,aws,dynamic_payload_gates,arn:aws:braket:us-west-1:265556963705:quantum-task/048f7c01-c526-4b2f-9e10-c9702c7ffaf4,"{'11010': 1, '00000': 2, '10011': 1, '00110': 1, '01000': 3, '01100': 2}",0.2
completed,7007,7,14018,"{""h"": 2408, ""s"": 2365, ""sdg"": 2365, ""x"": 2356, ""z"": 2324, ""y"": 2190, ""cx"": 7, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,7001,aws,dynamic_payload_gates,arn:aws:braket:us-west-1:265556963705:quantum-task/e99db138-809e-4580-a8c4-979760170bb9,"{'00010': 2, '10101': 2, '01100': 1, '11100': 1, '10001': 1, '10000': 1, '11001': 1, '10100': 1}",0.0
completed,7009,7,14020,"{""z"": 2452, ""x"": 2334, ""h"": 2316, ""sdg"": 2310, ""s"": 2310, ""y"": 2288, ""cx"": 7, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,7002,aws,dynamic_payload_gates,arn:aws:braket:us-west-1:265556963705:quantum-task/5cd17390-4514-400c-8f7d-e3ec90e7446f,"{'11110': 1, '11011': 1, '10111': 1, '00110': 1, '01010': 1, '00111': 1, '11101': 1, '01111': 1, '10110': 1, '00011': 1}",0.0
completed,7009,7,14022,"{""y"": 2450, ""h"": 2412, ""sdg"": 2358, ""s"": 2358, ""x"": 2232, ""z"": 2202, ""cx"": 7, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,7003,aws,dynamic_payload_gates,arn:aws:braket:us-west-1:265556963705:quantum-task/bef48099-c83f-43fa-91fe-d9a80e2b8c92,"{'01111': 1, '10100': 2, '11111': 2, '00011': 3, '01000': 1, '11110': 1}",0.0
