status,circuit_depth,circuit_width,circuit_size,circuit_count_ops,num_qubits,num_clbits,num_ancillas,num_parameters,has_calibrations,has_layout,payload_size,num_gates,execution_type,experiment_type,counts,success_rate,ibm_job_id,ibm_backend,job_duration,job_quantum_duration,job_status,job_success_rate,job_created,job_finished,job_running,job_execution_spans,job_execution_duration
completed,20005,5,20011,"{""x"": 4120, ""u"": 4064, ""y"": 3954, ""t"": 1977, ""tdg"": 1977, ""s"": 1954, ""sdg"": 1954, ""cx"": 5, ""h"": 4, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,10000,ibm,dynamic_payload_gates,"{""0"": 2034, ""1"": 2062}",0.49658203125,cz532rbh0kc00088zr40,ibm_brisbane,6.0,6.0,completed,0.49658203125,2025-03-06T23:36:01.849Z,2025-03-06T23:39:12.446Z,2025-03-06T23:36:04.849Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-06 23:39:05', stop='2025-03-06 23:39:11', size=4096>)])",5.8674990000000005
completed,20007,5,20013,"{""x"": 4046, ""y"": 3926, ""u"": 3864, ""s"": 2068, ""sdg"": 2068, ""t"": 2015, ""tdg"": 2015, ""cx"": 5, ""h"": 4, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,10001,ibm,dynamic_payload_gates,"{""0"": 1988, ""1"": 2108}",0.4853515625,cz534d91xvhg008eag90,ibm_kyiv,6.0,6.0,completed,0.4853515625,2025-03-06T23:39:33.695Z,2025-03-06T23:41:54.003Z,2025-03-06T23:41:11.041Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-06 23:41:47', stop='2025-03-06 23:41:53', size=4096>)])",5.213962
completed,20009,5,20015,"{""u"": 4140, ""y"": 3972, ""x"": 3958, ""t"": 2007, ""tdg"": 2007, ""s"": 1960, ""sdg"": 1960, ""cx"": 5, ""h"": 4, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,10002,ibm,dynamic_payload_gates,"{""0"": 2030, ""1"": 2066}",0.49560546875,cz535pep6030008chv0g,ibm_brisbane,6.0,6.0,completed,0.49560546875,2025-03-06T23:42:17.246Z,2025-03-06T23:42:28.426Z,2025-03-06T23:42:19.034Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-06 23:42:21', stop='2025-03-06 23:42:27', size=4096>)])",5.793852
completed,20011,5,20017,"{""u"": 3974, ""y"": 3920, ""x"": 3902, ""s"": 2063, ""sdg"": 2063, ""t"": 2042, ""tdg"": 2042, ""cx"": 5, ""h"": 4, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,10003,ibm,dynamic_payload_gates,"{""1"": 2069, ""0"": 2027}",0.494873046875,cz535xq39f40008sfye0,ibm_brisbane,6.0,6.0,completed,0.494873046875,2025-03-06T23:42:46.353Z,2025-03-06T23:43:01.615Z,2025-03-06T23:42:49.442Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-06 23:42:54', stop='2025-03-06 23:43:00', size=4096>)])",5.679448
completed,20013,5,20019,"{""x"": 4074, ""u"": 3938, ""y"": 3936, ""s"": 2034, ""sdg"": 2034, ""t"": 1996, ""tdg"": 1996, ""cx"": 5, ""h"": 4, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,10004,ibm,dynamic_payload_gates,"{""1"": 2081, ""0"": 2015}",0.491943359375,cz53660p6030008chv5g,ibm_brisbane,6.0,6.0,completed,0.491943359375,2025-03-06T23:43:20.898Z,2025-03-06T23:44:36.063Z,2025-03-06T23:43:23.767Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-06 23:44:29', stop='2025-03-06 23:44:34', size=4096>)])",5.711898
completed,20015,5,20021,"{""y"": 4000, ""u"": 3952, ""x"": 3922, ""t"": 2064, ""tdg"": 2064, ""s"": 2004, ""sdg"": 2004, ""cx"": 5, ""h"": 4, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,10005,ibm,dynamic_payload_gates,"{""1"": 2031, ""0"": 2065}",0.504150390625,cz536yvp6030008chv8g,ibm_brisbane,6.0,6.0,completed,0.504150390625,2025-03-06T23:45:00.187Z,2025-03-06T23:46:10.855Z,2025-03-06T23:45:03.028Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-06 23:46:03', stop='2025-03-06 23:46:09', size=4096>)])",5.770456
completed,10007,7,20016,"{""y"": 4204, ""x"": 4040, ""u"": 4010, ""s"": 1957, ""sdg"": 1957, ""t"": 1916, ""tdg"": 1916, ""cx"": 7, ""h"": 6, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,10000,ibm,dynamic_payload_gates,"{""00"": 988, ""01"": 1001, ""10"": 1066, ""11"": 1041}",0.2412109375,cz537py10wx0008bjn20,ibm_kyiv,4.0,4.0,completed,0.2412109375,2025-03-06T23:46:35.593Z,2025-03-06T23:46:45.149Z,2025-03-06T23:46:38.575Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-06 23:46:40', stop='2025-03-06 23:46:44', size=4096>)])",3.337612
completed,10007,7,20018,"{""y"": 4024, ""u"": 3982, ""x"": 3948, ""t"": 2019, ""tdg"": 2019, ""s"": 2005, ""sdg"": 2005, ""cx"": 7, ""h"": 6, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,10001,ibm,dynamic_payload_gates,"{""00"": 935, ""11"": 1235, ""01"": 1164, ""10"": 762}",0.228271484375,cz537xz39f40008sfym0,ibm_brisbane,6.0,6.0,completed,0.228271484375,2025-03-06T23:47:03.401Z,2025-03-06T23:47:16.563Z,2025-03-06T23:47:06.188Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-06 23:47:10', stop='2025-03-06 23:47:15', size=4096>)])",5.77038
completed,10009,7,20020,"{""u"": 4080, ""y"": 4040, ""x"": 3908, ""s"": 2020, ""sdg"": 2020, ""t"": 1968, ""tdg"": 1968, ""cx"": 7, ""h"": 6, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,10002,ibm,dynamic_payload_gates,"{""01"": 990, ""10"": 1115, ""11"": 1053, ""00"": 938}",0.22900390625,cz53870kvm9g008ga210,ibm_kyiv,4.0,4.0,completed,0.22900390625,2025-03-06T23:47:40.631Z,2025-03-06T23:47:50.716Z,2025-03-06T23:47:43.675Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-06 23:47:46', stop='2025-03-06 23:47:49', size=4096>)])",3.518571
completed,10009,7,20022,"{""u"": 4180, ""y"": 4016, ""x"": 3854, ""s"": 1992, ""sdg"": 1992, ""t"": 1986, ""tdg"": 1986, ""cx"": 7, ""h"": 6, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,10003,ibm,dynamic_payload_gates,"{""00"": 992, ""01"": 948, ""11"": 1079, ""10"": 1077}",0.2421875,cz538e139f40008sfypg,ibm_kyiv,4.0,4.0,completed,0.2421875,2025-03-06T23:48:09.064Z,2025-03-06T23:48:18.875Z,2025-03-06T23:48:12.075Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-06 23:48:14', stop='2025-03-06 23:48:18', size=4096>)])",3.2987130000000002
