status,circuit_depth,circuit_width,circuit_size,circuit_count_ops,payload_size,num_gates,execution_type,experiment_type,ibm_job_id,ibm_backend,counts,success_rate,job_duration,job_quantum_duration,job_status,job_success_rate,job_created,job_finished,job_running,job_execution_spans,job_execution_duration
completed,3005,5,3011,"[[""y"", 648], [""x"", 600], [""u"", 582], [""s"", 295], [""sdg"", 295], [""t"", 290], [""tdg"", 290], [""cx"", 5], [""h"", 4], [""cz"", 1], [""measure"", 1]]",1,1500,ibm,dynamic_payload_gates,cyv10t338jq0008xxz20,ibm_kyiv,"{""0"": 2115, ""1"": 1981}",0.516357421875,3.0,3.0,completed,0.516357421875,2025-02-19T17:10:00.936Z,2025-02-19T17:10:15.246Z,2025-02-19T17:10:04.412Z,"ExecutionSpans([SliceSpan(<start='2025-02-19 17:10:05', stop='2025-02-19 17:10:14', size=4096>)])",9.469287
completed,3007,5,3013,"[[""u"", 670], [""y"", 592], [""x"", 578], [""s"", 296], [""sdg"", 296], [""t"", 285], [""tdg"", 285], [""cx"", 5], [""h"", 4], [""cz"", 1], [""measure"", 1]]",1,1501,ibm,dynamic_payload_gates,cyv113c78z600082q4eg,ibm_kyiv,"{""1"": 1987, ""0"": 2109}",0.514892578125,3.0,3.0,completed,0.514892578125,2025-02-19T17:10:37.917Z,2025-02-19T17:10:51.679Z,2025-02-19T17:10:40.090Z,"ExecutionSpans([SliceSpan(<start='2025-02-19 17:10:40', stop='2025-02-19 17:10:50', size=4096>)])",10.170279
completed,3009,5,3015,"[[""y"", 642], [""u"", 618], [""x"", 540], [""t"", 310], [""tdg"", 310], [""s"", 292], [""sdg"", 292], [""cx"", 5], [""h"", 4], [""cz"", 1], [""measure"", 1]]",1,1502,ibm,dynamic_payload_gates,cyv11cx4raf0008ejvr0,ibm_kyiv,"{""1"": 2061, ""0"": 2035}",0.496826171875,3.0,3.0,completed,0.496826171875,2025-02-19T17:11:16.007Z,2025-02-19T17:11:30.431Z,2025-02-19T17:11:18.671Z,"ExecutionSpans([SliceSpan(<start='2025-02-19 17:11:19', stop='2025-02-19 17:11:29', size=4096>)])",10.109764
completed,3011,5,3017,"[[""x"", 656], [""u"", 610], [""y"", 576], [""s"", 301], [""sdg"", 301], [""t"", 281], [""tdg"", 281], [""cx"", 5], [""h"", 4], [""cz"", 1], [""measure"", 1]]",1,1503,ibm,dynamic_payload_gates,cyv11p6q5bwg0083p0mg,ibm_kyiv,"{""1"": 1922, ""0"": 2174}",0.53076171875,3.0,3.0,completed,0.53076171875,2025-02-19T17:11:52.503Z,2025-02-19T17:12:07.728Z,2025-02-19T17:11:55.546Z,"ExecutionSpans([SliceSpan(<start='2025-02-19 17:11:56', stop='2025-02-19 17:12:06', size=4096>)])",10.692616
completed,3013,5,3019,"[[""x"", 610], [""y"", 606], [""u"", 552], [""s"", 314], [""sdg"", 314], [""t"", 306], [""tdg"", 306], [""cx"", 5], [""h"", 4], [""cz"", 1], [""measure"", 1]]",1,1504,ibm,dynamic_payload_gates,cyv11zq4raf0008ejvsg,ibm_kyiv,"{""1"": 2085, ""0"": 2011}",0.490966796875,3.0,3.0,completed,0.490966796875,2025-02-19T17:12:30.436Z,2025-02-19T17:12:44.727Z,2025-02-19T17:12:33.075Z,"ExecutionSpans([SliceSpan(<start='2025-02-19 17:12:33', stop='2025-02-19 17:12:44', size=4096>)])",10.139872
completed,3015,5,3021,"[[""u"", 618], [""y"", 616], [""x"", 566], [""t"", 320], [""tdg"", 320], [""s"", 285], [""sdg"", 285], [""cx"", 5], [""h"", 4], [""cz"", 1], [""measure"", 1]]",1,1505,ibm,dynamic_payload_gates,cyv128hy2gd0008866mg,ibm_kyiv,"{""0"": 2123, ""1"": 1973}",0.518310546875,3.0,3.0,completed,0.518310546875,2025-02-19T17:13:07.106Z,2025-02-19T17:13:20.752Z,2025-02-19T17:13:09.715Z,"ExecutionSpans([SliceSpan(<start='2025-02-19 17:13:10', stop='2025-02-19 17:13:20', size=4096>)])",9.680758
completed,1507,7,3016,"[[""y"", 650], [""u"", 608], [""x"", 590], [""t"", 303], [""tdg"", 303], [""s"", 273], [""sdg"", 273], [""cx"", 7], [""h"", 6], [""measure"", 2], [""cz"", 1]]",2,1500,ibm,dynamic_payload_gates,cyv12hjq5bwg0083p0ng,ibm_kyiv,"{""00"": 1011, ""01"": 866, ""11"": 1002, ""10"": 1217}",0.246826171875,3.0,3.0,completed,0.246826171875,2025-02-19T17:13:42.977Z,2025-02-19T17:13:56.718Z,2025-02-19T17:13:45.763Z,"ExecutionSpans([SliceSpan(<start='2025-02-19 17:13:46', stop='2025-02-19 17:13:55', size=4096>)])",9.295116
completed,1507,7,3018,"[[""y"", 630], [""x"", 596], [""u"", 548], [""t"", 313], [""tdg"", 313], [""s"", 301], [""sdg"", 301], [""cx"", 7], [""h"", 6], [""measure"", 2], [""cz"", 1]]",2,1501,ibm,dynamic_payload_gates,cyv12tk78z600082q4j0,ibm_kyiv,"{""00"": 1021, ""01"": 965, ""11"": 1093, ""10"": 1017}",0.249267578125,3.0,3.0,completed,0.249267578125,2025-02-19T17:14:18.492Z,2025-02-19T17:14:32.801Z,2025-02-19T17:14:21.549Z,"ExecutionSpans([SliceSpan(<start='2025-02-19 17:14:22', stop='2025-02-19 17:14:32', size=4096>)])",9.900708
completed,1509,7,3020,"[[""x"", 616], [""u"", 616], [""y"", 534], [""s"", 318], [""sdg"", 318], [""t"", 301], [""tdg"", 301], [""cx"", 7], [""h"", 6], [""measure"", 2], [""cz"", 1]]",2,1502,ibm,dynamic_payload_gates,cyv133cjj6dg008g4b60,ibm_kyiv,"{""11"": 881, ""10"": 859, ""00"": 1604, ""01"": 752}",0.3916015625,3.0,3.0,completed,0.3916015625,2025-02-19T17:14:53.758Z,2025-02-19T17:15:07.839Z,2025-02-19T17:14:56.448Z,"ExecutionSpans([SliceSpan(<start='2025-02-19 17:14:57', stop='2025-02-19 17:15:07', size=4096>)])",9.752693
completed,1509,7,3022,"[[""y"", 638], [""x"", 622], [""u"", 574], [""t"", 302], [""tdg"", 302], [""s"", 284], [""sdg"", 284], [""cx"", 7], [""h"", 6], [""measure"", 2], [""cz"", 1]]",2,1503,ibm,dynamic_payload_gates,cyv13c54raf0008ejvvg,ibm_kyiv,"{""01"": 994, ""00"": 1038, ""10"": 1024, ""11"": 1040}",0.25341796875,3.0,3.0,completed,0.25341796875,2025-02-19T17:15:28.452Z,2025-02-19T17:15:43.062Z,2025-02-19T17:15:31.075Z,"ExecutionSpans([SliceSpan(<start='2025-02-19 17:15:31', stop='2025-02-19 17:15:42', size=4096>)])",10.468537
